OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Liberty College,Pokhara University,977- 1- 4222612,info@libertycollege.edu.np,http://www.libertycollege.edu.np/,"Anamnagar, Pragati Marg-2       ",Kathmandu,Bagmati," Liberty College PO Box: 10407 Pargati Marg-2, Anamnagar Kathmandu",Bachelor of Business Administration (BBA) ; 96;,http://edusanjal.com/college/liberty-college,Private,,,,,
National Open College (NOC),Pokhara University,977-1-5548098/ 5520326/ 016224665 /016222222,noc.sanepa@gmail.com,http://www.noc.edu.np/,Sanepa (Near Sajha Petrol Pump)       ,Lalitpur,Bagmati,Sanepa (Near Sajha Petrol Pump)  Lalitpur   Bagmati,"Bachelor of Business Administration (BBA) ; 48;,Bachelor of Health Care Management (BHCM) ; 48;,Bachelor of Public Health (BPH) ; 40;,Master of Healthcare Management (MHCM),Post Graduate Diploma in Healthcare Management (PGDHCM)",http://edusanjal.com/college/national-open-college,Private,,,,,
Premier College,Tribhuvan University,"977-1-4467468, 4469736",,http://www.premiereducation.org.np/,Baneshwor       ,Kathmandu,Bagmati," Premier College New Baneshwor Kathmandu (North of BICC-way to Old Baneshwor), Devkota Marga, Kathmandu","Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Master of Business Studies (MBS),CAP - I,CAP - II,CAP - III",http://edusanjal.com/college/premier-college,Private,,,,,
Excel International College,Pokhara University,"977-1- 4485109, 4462170",info@excelcollege.edu.np,http://www.excelcollege.edu.np/,"Lakhechaur Marg, New Baneshwor       ",Kathmandu,Bagmati,"Lakhechaur Marg, New Baneshwor  Kathmandu   Bagmati","Bachelor of Business Administration (BBA) ; 96;,Bachelor of Business Administration in Banking and Insurance (BBA-BI)",http://edusanjal.com/college/excel-international-college,Private,,,,,
Camad College,Pokhara University,01-4650643/4375100,camadcollege7@gmail.com,http://www.camadcollege.edu.np/,Sukedhara       ,Kathmandu,Bagmati,Sukedhara  Kathmandu   Bagmati,"Bachelor of Business Administration (BBA) ; 96;,Bachelor of Arts in Development Studies ; 48;",http://edusanjal.com/college/camad-college,Private,,,,,
Malpi International College,Pokhara University,"977-1-4442066, 4442067, 4442068",admissions@mic.edu.np,http://www.mic.edu.np/,Baluwatar       ,Kathmandu,Bagmati,Baluwatar  Kathmandu   Bagmati,Bachelor of Business Administration (BBA) ; 48;,http://edusanjal.com/college/malpi-international-college,Private,,,,,
Campion College,Tribhuvan University,"977-1-5521753, 5531432, 5531436",campionschool@gmail.com,http://www.cgmanipal.com/,Kupondole       ,Lalitpur,Bagmati," Campion College, Kupondole, Lalitpur, Nepal","Bachelor of Business Administration (BBA) ; 64;,Master of Business Studies (MBS),MA Sociology and Anthropology,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Bachelor of Arts-BA,Master of Arts (MA) in Rural Development",http://edusanjal.com/college/campion-college,Private,,,,,
Kathmandu BernHardt College,Tribhuvan University,"01-4672506, 4672507",bernhardt@wlink.com.np,http://www.kbc.edu.np/,Bafal       ,Kathmandu,Bagmati,Bafal  Kathmandu   Bagmati,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Social Works (BSW),Master of Business Studies (MBS)",http://edusanjal.com/college/kathmandu-bernhardt-college,Private,,,,,
"Everest College, Thapathali",Tribhuvan University,"977-1-4231460, 4266652, 4229653",info@everestcollege.edu.np,http://everestcollege.edu.np/,Thapathali       ,Kathmandu,Bagmati,Thapathali  Kathmandu   Bagmati,"Bachelor of Business Administration (BBA) ; 64;,Bachelor of Business Studies (BBS) ; 120;,Master of Business Studies (MBS) ; 40;",http://edusanjal.com/college/everest-college-thapathali,Private,,,,,
Columbus Higher Secondary School,Tribhuvan University,"977-1-4781747, 4784883",college@columbus.edu.np,http://www.columbus.edu.np/,New Baneshwor       ,Kathmandu,Bagmati," Columbus Higher Secondary School and College P.O Box: 23728, Shankhamul Marg New Baneshwor, Kathmandu, Nepal","Bachelor of Social Works (BSW),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/columbus-higher-secondary-school,Private,,,,,
SAIM College,Pokhara University,977-1-5544430 5522044,info@saim.edu.np,http://www.saim.edu.np/,Lagankhel       ,Lalitpur,Bagmati," SAIM (South Asian Institute of Management )College Mahalaxmisthan Marga Lagankhel, Lalitpur","Bachelor of Business Administration (BBA) ; 48;,MBA (Global Business)",http://edusanjal.com/college/saim-college,Private,,,,,
Padmashree International College,"Nilai University College, Malaysia,Tribhuvan University","977-1-2111404, 4112252",info@padmashreecollege.edu.np,http://www.padmashreecollege.edu.np/,Tinkune       ,Kathmandu,Bagmati," Padhmashree International College GPO Box no. 464 Tinkune, Kathmandu","B.Tech. Food Technology,BA (Hons) in Business and Hospitality Management,Bachelor of Science in Information Technology (B.Sc IT)",http://edusanjal.com/college/padmashree-international-college,Private,,,,,
Kantipur Valley College,Purbanchal University,977-1-5538233,info@kvc.com.np,http://kvc.com.np/,Kumaripati       ,Lalitpur,Bagmati," Kantipur Valley College Within the premises of PUBOHSS (+2 College) GPO Box: 8975, EPC: 2310, Kumaripati, Lalitpur, Nepal","Bachelor of Business Administration (BBA) ; 80;,B.Tech (Biotechnology) ; 48;,Master of Business Administration (MBA) ; 30;,Executive MBA ; 30;",http://edusanjal.com/college/kantipur-valley-college,Private,https://www.facebook.com/KVCollege,,,,
Islington College,London Metropolitan University,"977-1-4412929, 4420054",info@islington.edu.np,http://www.islington.edu.np/,Kamal Pokhari       ,Kathmandu,Bagmati,Kamal Pokhari  Kathmandu   Bagmati,"B.Sc Computer Networking and IT Security,B.Sc. (Hons) in Computing (3 or 4 year Track),Bachelor Degree in Multimedia Technologies (BIT),Master of Science in Information Technology (M.Sc IT),Bachelor Degree in Business Administration (BBA)",http://edusanjal.com/college/islington-college,Private,,,,,
Gateway College of Professional Studies,Purbanchal University,"977-1-4361747,4389083",email@professionalstudies.edu.np,http://www.professionalstudies.edu.np/,Samakhushi       ,Kathmandu,Bagmati,Samakhushi  Kathmandu   Bagmati,Bachelor of Hotel Management (BHM),http://edusanjal.com/college/gateway-college-professional-studies,Private,,,,,
Kathmandu Model College,Tribhuvan University,"01-5201331, 5201334",info@ktmmodelcollege.edu.np,http://www.kathmandumodelcollege.edu.np/,Balkumari       ,Lalitpur,Bagmati,Balkumari  Lalitpur   Bagmati,"Bachelor of Business Administration (BBA) ; 64;,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Master of Arts (MA) in English,Master of Business Studies (MBS),Bachelor of Arts-BA",http://edusanjal.com/college/kathmandu-model-college,Private,,,,,
International School of Tourism and Hotel Management (IST College),Salzburg University of Applied Sciences,"977 1 4434350, 4434185",,http://www.ist.org.np/,"Gyaneshwor , opposite to German Embassy        ",Kathmandu,Bagmati,"Gyaneshwor , opposite to German Embassy   Kathmandu   Bagmati","Intermediate Diploma in Hotel Management,FHS Diploma in Hotel Management",http://edusanjal.com/college/international-school-tourism-and-hotel-management,Private,,,,,
AITM-School of Hotel Management,"IMI University Center Switzerland,Purbanchal University","977-1-5541179,5548722",info@whshm.edu.np,http://www.whshm.edu.np/,Khumaltar       ,Lalitpur,Bagmati,Khumaltar  Lalitpur   Bagmati,"Bachelor of Hotel Management (BHM),Higher Diploma in International Hotel and Tourism Management (HDHM)",http://edusanjal.com/college/aitm-school-hotel-management,Private,,,,,
Nesfield International College,Tribhuvan University,"977-1-5525125, 5525330, 2239637",info@nesfield.edu.np,http://www.nesfield.edu.np/,"Gyan Griha, Batukbhairabsthan Lagankhel       ",Lalitpur,Bagmati," Nesfield International College PO Box: 8975, EPC. 2982 Gyan Griha, Batukbhairabsthan, Lagankhel Lalitpur","Bachelor of Hotel Management (BHM) ; 84;,Bachelor of Social Works (BSW),Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Master of Business Studies (MBS)",http://edusanjal.com/college/nesfield-international-college,Private,,,,,
Silkroad International College,Purbanchal University,"977-1-4374168, 4016632",silkroad@sicollege.edu.np,http://www.sicollege.edu.np/,Basundhara       ,Kathmandu,Bagmati," Silkroad International College Narayangopal Chowk, Basundhara, Kathmandu",Bachelor of Business Administration (BBA),http://edusanjal.com/college/silkroad-international-college,Private,,,,,
Malpi Institute,Cambridge University,"977 1 4442066, 4442067, 4442068",admissions@mic.edu.np,http://www.mic.edu.np/,Subarna Shamsher Marg in Baluwatar       ,Kathmandu,Bagmati,"Malpi Institute, Subarna Shamsher Marg in Baluwatar, Kathmandu","GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/malpi-institute,Private,,,,,
Mid-Valley International College,HELP University College,977-1-4435188,info@vchm.edu.np,http://www.vchm.edu.np/,Gyaneshwor       ,Kathmandu,Bagmati," Mid-Valley International College Gyaneshwor, Kathmandu","BBus in Hospitality Management (Hons),Bachelor of Business (Accounting) Hons,Bachelor of Business (Finance) Hons",http://edusanjal.com/college/mid-valley-international-college,Private,,,,,
Phoenix College of Management,Lincoln University College ,"977-1-4491697, 4461372, 9801037492",info@phoenixcollege.edu.np,http://phoenixcollege.edu.np/,"Thapagaun, Bijuli Bazaar, New Baneshwor       ",Kathmandu,Bagmati,"Thapagaun, Bijuli Bazaar, New Baneshwor  Kathmandu   Bagmati","Bachelor of Business Administration (BBA),Master of Business Administration (MBA)",http://edusanjal.com/college/phoenix-college-management,Private,,,,,
K and K International College,Tribhuvan University,"977-1-4474557, 4497515",info@kandk.edu.np,http://www.kandk.edu.np/,"New Baneshwor (Infront of BICC, West Gate-2)       ",Kathmandu,Bagmati,"New Baneshwor (Infront of BICC, West Gate-2)  Kathmandu   Bagmati","Bachelor of Business Administration (BBA) ; 64;,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Bachelor of Arts-BA,Master of Arts (MA) in Rural Development,Master of Arts (MA) in Gender Studies",http://edusanjal.com/college/k-and-k-international-college,Private,,,,,
Atharva Business College,Pokhara University,"01-4372966,9851014413, 9841536381",atharvabusinesscollege@gmail.com,http://www.atharvacollege.edu.np/,"Maharajgunj, Bansbari       ",Kathmandu,Bagmati,"Maharajgunj, Bansbari  Kathmandu   Bagmati",Bachelor of Business Administration (BBA) ; 48;,http://edusanjal.com/college/atharva-business-college,Private,,,,,
Sahid Ramnath Dahal Smriti College,Pokhara University,"977-014360969, 4361486",,,Balaju Chowk. Opposite to Balaju Bhatbhateni Supermarket        ,Kathmandu,Bagmati,Balaju Chowk. Opposite to Balaju Bhatbhateni Supermarket   Kathmandu   Bagmati,"Bachelor of Business Administration (BBA),Bachelor of Business Administration in Banking and Insurance (BBA-BI)",http://edusanjal.com/college/sahid-ramnath-dahal-smriti-college,Private,,,,,
Samriddhi College,Tribhuvan University,"01-6636700, 6636322",,http://samriddhicollege.edu.np/,Lokanthali-16       ,Bhaktapur,Bagmati,Lokanthali-16  Bhaktapur   Bagmati,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW)",http://edusanjal.com/college/samriddhi-college,Private,,,,,
Asian Institute of Technology and Management (AITM),"Asian Institute of Technology, Thailand,Purbanchal University","977-1-5552376, 5541179",enquiries@aitm.edu.np,http://aitm.edu.np/,"Knowledge Village, Khumatar, Heights       ",Lalitpur,Bagmati,"Knowledge Village, Khumatar, Heights  Lalitpur   Bagmati","Bachelor of Science (B.Sc) in Information and Communication Technology,Bachelor of Information Technology (BIT),Bachelor of Computer Engineering ; 40;,Bachelor of Civil Engineering ; 96;,B.Tech (Biotechnology)",http://edusanjal.com/college/asian-institute-technology-and-management,Private,,,,,
​Campion Academy,Cambridge University,"977-1-5535131, 5537959",principal.ca@cgeducation.com.np,http://cgeducation.com.np/campion_academy.php,Lagankhel (Next to Patan Hospital)       ,Lalitpur,Bagmati,Lagankhel (Next to Patan Hospital)  Lalitpur   Bagmati,"GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/campion-academy,Private,,,,,
College of Biomedical Engineering and Applied Sciences,Purbanchal University,"977-1-4437822,4441467",info@biomedical.edu.np,http://www.biomedical.edu.np/,Bishalnagar       ,Kathmandu,Bagmati," College of Biomedical Engineering & Applied Sciences Panche-Dhara,GaneshSthan Bishalnagar, Kathmandu,Nepal GPO BOX No. 12521",Bachelor of Engineering (Biomedical Engineering) ; 60;,http://edusanjal.com/college/college-biomedical-engineering-and-applied-sciences,Private,,,,,
Nepal Engineering College (nec),Pokhara University,977-1-5090744,info@nec.edu.np,http://www.nec.edu.np/,Changunarayan       ,Bhaktapur,Bagmati,": Nepal Engineering College Changunarayan VDC, Bhaktapur G.P.O. Box: 10210, Nepal","Bachelor of Computer Engineering ; 96;,Bachelor of Civil Engineering ; 144;,Bachelor of Electrical and Electronics Engineering ; 48;,Bachelor of Electronics and Communication Engineering ; 96;,Bachelor of Civil and Rural Engineering ; 48;,M.Sc In Interdisciplinary Water Resources Management,Bachelor of Architecture ; 48;,M.Sc in Transportation Engineering and Management,M.Sc in Construction Management ; 30;,M.Sc in Natural Resources Management ; 30;,Bachelor in Civil Engineering (For Diploma Holders) ; 48;,Bachelor of Engineering in Information Technology (BE.IT) ; 48;",http://edusanjal.com/college/nepal-engineering-college,Private,,,,,
"Institute of Advanced Communication, Education and Research (IACER)",Pokhara University,977-1- 4471915,info@iacer.edu.np,http://www.iacer.edu.np/,Old Baneshwor       ,Kathmandu,Bagmati," Institute of Advanced Communication, Education and Research Old Baneshwor Height, Kathmandu, Nepal","Master of Philosophy (M.Phil) in English,Master of Arts (MA) in English",http://edusanjal.com/college/institute-advanced-communication-education-and-research,Private,,,,,
Bagmati College,Tribhuvan University,"977-1-4374881, 4374887, 4372218",info@bmcollege.edu.np,http://www.bmcollege.edu.np/,Sukedhara       ,Kathmandu,Bagmati," Bagmati Modern College Sukedhara, New Colony Kathmandu, Nepal",Bachelor of Business Studies (BBS),http://edusanjal.com/college/bagmati-college,Private,,,,,
School of Environmental Science and Management (SchEMS),Pokhara University,+977 1 4482475,mail@schems.edu.np,http://www.schems.edu.np/,New Baneshwor       ,Kathmandu,Bagmati," School of Environmental Science and Management Balbhadra Marg, New Baneshwor. PO Box: 2453, Kathmandu, Nepal","Bachelor of Business Administration (BBA) ; 96;,Bachelor of Science (B.Sc) in Environmental Management ; 48;,M.Sc in Environmental Management",http://edusanjal.com/college/school-environmental-science-and-management,Private,,,,,
Nepal College of Management,Kathmandu University,977-1-5540752 / 5540753,ncm@wlink.com.np,http://www.ncm.edu.np/,Dhobighat       ,Lalitpur,Bagmati," Nepal College of Management GPO Box: 1138 Dhobighat (Near Sunrise Tower),Lalitpur Kathmandu, Nepal","Bachelor in Hospitality and Tourism Management (BHTM),Bachelor of Business Administration (BBA) ; 132;",http://edusanjal.com/college/nepal-college-management,Private,,,,,
Nepal College of Information Technology (NCIT),Pokhara University,"977-1-5006354, 5006356",info@ncit.net.np,http://www.ncit.net.np/,Balkumari       ,Lalitpur,Bagmati," Nepal College of Information Technology (NCIT) GPO Box: 8975, EPC, 1525 Kathmandu Balkumari, Lalitpur","Bachelor of Business Administration (BBA) ; 48;,Bachelor of Civil Engineering ; 48;,Bachelor of Electronics and Communication Engineering ; 48;,Bachelor of Computer Engineering ; 96;,Bachelor of Engineering in Information Technology (BE.IT) ; 96;,Master of Computer Engineering,Master of Computer Information Systems (MCIS),Master of Science (M.Sc) in Computer Science,Bachelor of Software Engineering ; 96;",http://edusanjal.com/college/nepal-college-information-technology,Private,,,,,
Canvas international college,Tribhuvan University,"977-1-4380304, 4354280",info@canvascollege.edu.np,http://www.canvascollege.edu.np/,Basundhara       ,Kathmandu,Bagmati," Canvas International College Basundhara, Maharajgunj Kathmandu","Bachelor of Arts-BA,Bachelor of Business Studies (BBS)",http://edusanjal.com/college/canvas-international-college,Private,,,,,
VS Niketan College,Pokhara University,"977-1-4482715, 4622073, 4255713",info@vsniketan.edu.np,http://www.vsniketan.edu.np/,Minbhawan       ,Kathmandu,Bagmati," VS Niketan College PO Box: 2751 Minbhawan, Kathmandu Nepal",Bachelor of Business Administration (BBA) ; 144;,http://edusanjal.com/college/vs-niketan-college,Private,,,,,
Universal College,Tribhuvan University,"4442775, 4428321",univcollege@wlink.com.np,http://uc.edu.np/,Maitidevi       ,Kathmandu,Bagmati," Universal College Maitidevi plaza, Maitidevi Chowk-33, Kathmandu, Nepal","Bachelor of Business Administration (BBA) ; 64;,Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Master of Arts (MA) in English",http://edusanjal.com/college/universal-college,Private,,,,,
Apex College,Pokhara University,"977-1-4467922, 4478841",apex@apexcollege.edu.np,http://www.apexcollege.edu.np/,Old Baneshwor       ,Kathmandu,Bagmati,Old Baneshwor  Kathmandu   Bagmati,"Bachelor of Business Administration (BBA) ; 144;,Bachelor of Business Administration in Banking and Insurance (BBA-BI) ; 144;,Bachelor of Computer Information Systems (BCIS) ; 96;,Master of Business Administration (MBA),Bachelor of Business Administration - Travel and Tourism (BBA-TT)",http://edusanjal.com/college/apex-college,Private,,,,,
Ace Institute of Management,"Cambridge University,Pokhara University","4110795, 4110743, 4110697",ace@ace.edu.np,http://www.aim.edu.np/,Sinamangal       ,Kathmandu,Bagmati," Ace Institute of Management Sinamangal, Kathmandu and New Baneshwor. Kathmandu Nepal","Bachelor of Business Administration (BBA) ; 96;,Bachelor of Business Administration in Banking and Insurance (BBA-BI) ; 96;,Executive MBA,Master of Business Administration (MBA),GCE A level Non-Science",http://edusanjal.com/college/ace-institute-management,Private,,,,,
Pokhara Engineering College,"CTEVT,Pokhara University","977-61-531209,",info@pec.edu.np,http://www.pec.edu.np/,"Phirke, Pokhara       ",Kaski,Gandaki,"Pokhara Engineering College, Phirke, Pokhara-8, Kaski, Nepal P.O.Box 540","Bachelor of Computer Engineering ; 48;,Bachelor of Civil Engineering ; 96;,Diploma in Civil Engineering ; 48;,Diploma in Electronics Engineering ; 48;,Diploma in Computer Engineering ; 48;,M.Sc in Construction Management ; 30;,Bachelor of Electronics and Communication Engineering ; 48;,TSLC in Civil Engineering (Civil Sub-Overseer) ; 40;",http://edusanjal.com/college/pokhara-engineering-college,Private,,,,,
Nepal Tourism and Hotel Management College,Pokhara University,977-61-432333/ 431678,nthmc@fewanet.com.np,http://www.nthmcpkr.com/,"Chinedada, Pokhara       ",Kaski,Gandaki," Nepal Tourism and Hotel Management College Chinedada, Pokhara-18 Nepal","Bachelor of Business Administration (BBA) ; 48;,Bachelor of Business Administration in Banking and Insurance (BBA-BI) ; 48;,Bachelor of Hotel Management (BHM) ; 96;",http://edusanjal.com/college/nepal-tourism-and-hotel-management-college,Private,,,,,
Pokhara College of Management,Pokhara University,"977-61-541761, 520124",info@pcm.edu.np,http://www.pcm.edu.np/,"Gyanmarg, Nadipur, Pokhara-3       ",Kaski,Gandaki,"Gyanmarg, Nadipur, Pokhara-3  Kaski   Gandaki",Bachelor of Business Administration (BBA) ; 96;,http://edusanjal.com/college/pokhara-college-management,Private,,,,,
Asian College for Advance Studies,Purbanchal University,"977-1-5540183, 2230359",info@acas.edu.np,http://www.acas.edu.np/,Satdobato       ,Lalitpur,Bagmati," Asian College of Advance Studies Satdobato, Lalitpur, Nepal","PCL Nursing,Bachelor of Science (B.Sc) in Nursing ; 20;,Bachelor of Pharmacy ; 30;,Bachelor of Public Health (BPH) ; 40;,Post Basic Bachelor in Nursing (PBBN) ; 40;,Certificate in Medical Laboratory Technology (CMLT) ; 30;",http://edusanjal.com/college/asian-college-advance-studies,Private,,,,,
Acme Engineering College,"CTEVT,Purbanchal University","977-1-4282962, 4280445, 4670924, 4670925",acme@acme.edu.np,,"Sitapaila Chowk,         ",Kathmandu,Bagmati," Acme Engineering College Sitapaila Chowk, Ring Road, Kathmandu, Nepal P.O. Box:8849","M.Sc in Engineering Management ; 30;,M.Sc in Information System Engineering ; 30;,Bachelor of Computer Engineering ; 80;,Bachelor of Civil Engineering ; 144;,Bachelor of Electronics & Communication Engineering ; 80;,Bachelor of Architecture ; 40;,Diploma in Electronics Engineering ; 48;,Diploma in Civil Engineering ; 48;,Diploma in Computer Engineering ; 48;",http://edusanjal.com/college/acme-engineering-college,Private,,,,,
Gandaki College of Engineering and Sciences,Pokhara University,"977-61-440944,440866",gces@gces.edu.np,http://www.gces.edu.np/,Lamachaur       ,Kaski,Gandaki," Gandaki College of Engineering and Science(GCES) Lamachaur, Pokhara, Nepal",Bachelor of Software Engineering ; 48;,http://edusanjal.com/college/gandaki-college-engineering-and-sciences,Private,,,,,
Caspian Valley college,Tribhuvan University,"977-1-5524065, 5554208",info@caspian.edu.np,http://www.caspian.edu.np/,Kumaripati       ,Lalitpur,Bagmati," Caspian Valley College PO Box: 8975, EPC 2685 Kumaripati, Lalitpur","Bachelor of Business Studies (BBS),Master of Business Studies (MBS)",http://edusanjal.com/college/caspian-valley-college,Private,,,,,
Capital college and Research Center,Tribhuvan University,"977-1-5100423, 5100456",ccrc@wlink.com.np,http://www.ccrc.edu.np/,Balkumari Bridge       ,Kathmandu,Bagmati," Capital College and Research Centre GPO Box: 9737, Koteshwor (Near Balkumari Bridge), Kathmandu",Bachelor of Business Studies (BBS),http://edusanjal.com/college/capital-college-and-research-center,Private,,,,,
Cosmos College of Management and Technology,Pokhara University,"977-1- 2151806, 5548704",info@cosmoscollege.edu.np,http://www.cosmoscollege.edu.np/,"Satdobato, Tutepani       ",Lalitpur,Bagmati," Cosmos College of Management and Technology (Tutepani, Near Satdobato, Lalitpur)","Bachelor of Business Administration (BBA) ; 48;,Bachelor of Electronics and Communication Engineering ; 48;,Bachelor of Computer Engineering ; 48;,Bachelor of Engineering in Information Technology (BE.IT) ; 48;,Bachelor of Civil Engineering ; 96;",http://edusanjal.com/college/cosmos-college,Private,,,,,
Central Institute of Science and Technology (CIST) College,Pokhara University,977-1-4485307 4473934,askcist@gmail.com,http://www.cist.edu.np/,Baneshwor       ,Kathmandu,Bagmati," CIST College Sangam Chowk, New Baneshwor, Kathmandu","Bachelor of Public Health (BPH) ; 40;,Bachelor of Pharmacy ; 40;",http://edusanjal.com/college/cist-college,Private,,,,,
Everest Engineering and Management College,Pokhara University,01-4784644,admin@eec.edu.np,http://www.eemc.edu.np/,"UN Park Bridge, Buddhanagar        ",Kathmandu,Bagmati,"UN Park Bridge, Buddhanagar   Kathmandu   Bagmati","Bachelor of Business Administration in Banking and Insurance (BBA-BI) ; 48;,Bachelor of Electronics and Communication Engineering ; 48;,Bachelor of Computer Engineering ; 48;",http://edusanjal.com/college/everest-engineering-and-management-college,Private,,,,,
Uniglobe College,Pokhara University,"977-1-4115690, 4115569",mail@uniglobe.edu.np,http://www.uniglobe.edu.np/,New Baneshwor       ,Kathmandu,Bagmati," Uniglobe College New Baneshwor, Kathmandu","Bachelor of Business Administration (BBA) ; 96;,Bachelor of Business Administration in Banking and Insurance (BBA-BI) ; 48;,MBA Finance",http://edusanjal.com/college/uniglobe-college,Private,,,,,
Brihaspati College,"Pokhara University,Tribhuvan University","977-71-522944, 523744",info@brihaspaticollege.edu.np,http://www.brihaspaticollege.edu.np/,"Goligadh-9, Bhairahawa       ",Rupandehi,Lumbini," Brihaspati College Goligadh-9, Bhairahwa","Bachelor of Business Administration (BBA) ; 96;,Bachelor of Business Studies (BBS)",http://edusanjal.com/college/brihaspati-college,Private,,,,,
