OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,HighSchoolCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Universal College,HSEB,"4442775, 4428321",univcollege@wlink.com.np,http://uc.edu.np/,Maitidevi       ,Kathmandu,Bagmati," Universal College Maitidevi plaza, Maitidevi Chowk-33, Kathmandu, Nepal","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/universal-college,Private,,,,,
Nepal Tourism and Hotel Management College,HSEB,977-61-432333/ 431678,nthmc@fewanet.com.np,http://www.nthmcpkr.com/,"Chinedada, Pokhara       ",Kaski,Gandaki," Nepal Tourism and Hotel Management College Chinedada, Pokhara-18 Nepal",Ten Plus Two Management,http://edusanjal.com/college/nepal-tourism-and-hotel-management-college,Private,,,,,
Acme Engineering College,HSEB,"977-1-4282962, 4280445, 4670924, 4670925",acme@acme.edu.np,,"Sitapaila Chowk,         ",Kathmandu,Bagmati," Acme Engineering College Sitapaila Chowk, Ring Road, Kathmandu, Nepal P.O. Box:8849",Ten Plus Two Science,http://edusanjal.com/college/acme-engineering-college,Private,,,,,
Caspian Valley college,HSEB,"977-1-5524065, 5554208",info@caspian.edu.np,http://www.caspian.edu.np/,Kumaripati       ,Lalitpur,Bagmati," Caspian Valley College PO Box: 8975, EPC 2685 Kumaripati, Lalitpur","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/caspian-valley-college,Private,,,,,
Capital college and Research Center,HSEB,"977-1-5100423, 5100456",ccrc@wlink.com.np,http://www.ccrc.edu.np/,Balkumari Bridge       ,Kathmandu,Bagmati," Capital College and Research Centre GPO Box: 9737, Koteshwor (Near Balkumari Bridge), Kathmandu","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/capital-college-and-research-center,Private,,,,,
Brihaspati College,HSEB,"977-71-522944, 523744",info@brihaspaticollege.edu.np,http://www.brihaspaticollege.edu.np/,"Goligadh-9, Bhairahawa       ",Rupandehi,Lumbini," Brihaspati College Goligadh-9, Bhairahwa","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/brihaspati-college,Private,,,,,
Hari Khetan Multiple Campus,HSEB,+977-51-524215,info@hkmc.edu.np,http://www.hkmc.edu.np/,Birgunj       ,Parsa,Narayani," Hari Khetan Multiple Campus Birgunj,Parsa","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/hari-khetan-multiple-campus,Private,,,,,
Tilottama Campus,HSEB,977-1-71542659,info@tilottama.edu.np,http://www.tilottama.edu.np/,"Yogikuti, Butwal       ",Rupandehi,Lumbini," Tilottama Campus Yogikuti Butwal, Rupandehi","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/tilottama-campus,Private,,,,,
National Academy of Science and Technology,HSEB,977-91-523949,nast@yahoo.com,http://www.nast.edu.np/,Dhangadi       ,Kailali,Seti, National Academy of Science and Technology Dhangadhi,"Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/national-academy-science-and-technology,Private,,,,,
Xavier International College,HSEB,"977-1-443947, 4439472, 4439491",info@xavier.edu.np,http://www.xavier.edu.np/,Kalopul       ,Kathmandu,Bagmati," Xavier International College GPO. Box:23603 Kalopul, Kathmandu","Ten Plus Two Science ; 500;,Ten Plus Two Humanities ; 80;,Ten Plus Two Management ; 500;",http://edusanjal.com/college/xavier-international-college,Private,,,,,
St. Xaviers College,HSEB,"977-01-4221365, 4244636",ktm@sxc.edu.np,http://www.sxc.edu.np/,Maitighar       ,Kathmandu,Bagmati," St. Xavier's College Maitighar, Kathmandu",Ten Plus Two Science,http://edusanjal.com/college/st-xaviers-college,Private,,,,,
Trinity International College,HSEB,977-1-4445955 / 4445956,info@trinitycollege.edu.np,http://www.trinitycollege.edu.np/,Dillibazar Height       ,Kathmandu,Bagmati," Trinity International College Dillibazar Height, PO Box: 26111 Kathmandu, Nepal","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/trinity-international-college,Private,,,,,
Triton International College,HSEB,977-015104450 977-015104529,tritonintlcollege@gmail.com,,Tinkune       ,Kathmandu,Bagmati," Triton International H S School and College Subidhanagar, Tinkune, Kathmandu, Nepal","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/triton-international-college,Private,,,,,
White Field College,HSEB,"977-1-4251733, 4249538",info@ref.edu.np,http://www.ref.edu.np/,Shorakhutte       ,Kathmandu,Bagmati, White field College Shorakhutte- Shova bhagwati Road,"Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/white-field-college,Private,,,,,
Reliance International Academy (RIA),HSEB,"977-1-4822336,4812445",ria@mail.com.np,http://www.rianepal.edu.np/,"Saraswotinagar,chabahil        ",Kathmandu,Bagmati," Reliance International Academy Maitreya Marga, Saraswotinagar Chabhil, Kathmandu, Nepal","Ten Plus Two Humanities ; 40;,Ten Plus Two Management ; 440;,Ten Plus Two Science ; 200;",http://edusanjal.com/college/reliance-international-academy,Private,,,,,
New Millenium College,HSEB,"977-1-4427987, 4418585",nmahss@wlink.com.np,http://www.nema.edu.np/,Dhumbarahi       ,Kathmandu,Bagmati," New Millennium College Dhumbarahi, Ringroad, P.O. Box No. 2319, Kathmandu , Nepal","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/new-millenium-college,Private,,,,,
Prime College,HSEB,"977-1-4360180, 4360182",info@prime.edu.np,http://www.prime.edu.np/,Khusibu       ,Kathmandu,Bagmati," Prime College G.P.O. Box: 9809, Naya Bazar, Khusibu, Kathmandu","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/prime-college,Private,,,,,
St. Lawrence College,HSEB,"977-1- 4487864, 4460996",info@stlawrence.edu.np,http://www.en.stlawrence.edu.np/,Chabhil       ,Kathmandu,Bagmati," St. Lawrence College PO Box: 1221, Chabahil, Pipalbot Kathmandu, Nepal","Ten Plus Two Humanities ; 25;,Ten Plus Two Management ; 300;,Ten Plus Two Science ; 250;",http://edusanjal.com/college/st-lawrence-college,Private,,,,,
Nepal Institute of Management and Science College,HSEB,"977-1-5535872, 5540931",info@nims.edu.np,http://www.nims.edu.np/,Lagankhel       ,Lalitpur,Bagmati," Nepal Institute of Management and Science Lagankhel, Lalitpur, Nepal","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/nepal-institute-management-and-science-college,Private,,,,,
National Integrated College,HSEB,"977-1-4442098, 4442722",niccollege@wlink.com.np,http://www.nic.edu.np/,Dillibazar       ,Kathmandu,Bagmati," National Integrated College (NIC) Gurju Marga, Charkhal, Dilli Bazar, Kathmandu, Nepal","Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Humanities",http://edusanjal.com/college/national-integrated-college,Private,,,,,
Nightangale College,HSEB,"977-1-5541420, 5551829",info@nightingalefoundation.com,http://www.nightingale.edu.np/,Kupandole       ,Lalitpur,Bagmati," Nightangale College Kupandole, Lalitpur, Nepal","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/nightangale-college,Private,,,,,
DAV College,HSEB,977-1-5536626,info@davcollegenepal.com,http://www.davcollege.edu.np/,Jwalakhel       ,Lalitpur,Bagmati,Jwalakhel  Lalitpur   Bagmati,"Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/dav-college,Private,,,,,
Moonlight Higher Secondary School (MOLIHSS),HSEB,"977-1-5524311,5527525,5545654",info@molihss.edu.np,http://molihss.edu.np/,Lagankhel       ,Lalitpur,Bagmati," Moonlight Higher Secondary School Prayagpokhari, Lagankhel, Lalitpur PO Box: 8975, EPC: 2982","Ten Plus Two Humanities ; 30;,Ten Plus Two Management ; 300;,Ten Plus Two Science ; 300;",http://edusanjal.com/college/moon-light-higher-secondary-school,Private,,,,,
SV Academy College,HSEB,"977-1-4783913, 4784444",svacademy2002@gmail.com,http://www.svacademy.edu.np/,Buddhanagar       ,Kathmandu,Bagmati," SV Academy College Buddhanagar, PO Box: 535 Kathmandu, Nepal","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/sv-academy-college,Private,,,,,
Metro Higher Secondary School,HSEB,"977-1-4474114,4472385",info@metro.edu.np,http://www.metro.edu.np/,Thapagaun       ,Kathmandu,Bagmati," Metro Higher Secondary School Thapagaun, New Baneshwor Kathmandu, Bagmati, Nepal","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/metro-higher-secondary-school,Private,,,,,
College of Business Management,HSEB,"977-1-4418869, 4439716",info@cbm.edu.np,http://www.cbm.edu.np/,"Dillibazar,         ",Kathmandu,Bagmati," College of Business Management Gurju Marg, Dillibazar Height GPO Box: 3261, Kathmandu, Nepal",Ten Plus Two Management,http://edusanjal.com/college/college-of-business-management,Private,,,,,
The Times International College,HSEB,"977-1-4418046, 4420928, 4442717",info@timesinternational.com.np,http://timescollege.edu.np/,Dillibazar       ,Kathmandu,Bagmati," The Times International College Dillibazar, Kathmandu","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/times-international-college,Private,,,,,
Caribbean College,HSEB,"977-1-5550676, 5537314",info@caribbean.edu.np,http://www.caribbean.edu.np/,Jawalakhel       ,Lalitpur,Bagmati," Caribbean Higher Secondary School and Caribbean College of Management GPO Box 8975 EPC 2974 Jawalakhel, Lalitpur, Nepal","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/caribbean-college,Private,,,,,
Omega International College,HSEB,"977-1-5550563,5523191",info@omegacollege.edu.np,http://www.omegacollege.edu.np/,Kumaripati       ,Lalitpur,Bagmati," Omega International College P.B. No. 286, Kumaripati, Lalitpur Nepal","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/omega-international-college,Private,,,,,
NASA International College,HSEB,"977-1-4460397,4479849",info@nasacollege.com,http://www.nasacollege.com/,Tinkune       ,Kathmandu,Bagmati," NASA International College Gairigaun,Tinkune, Kathmandu","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/nasa-international-college,Private,,,,,
Bridgewater International College,HSEB,"977-1-4480069,4481590",info@bridgewaternepal.com,http://bridgewaternepal.com/,Sinamangal       ,Kathmandu,Bagmati," Bridgewater Education Foundation and Research Center PO Box: 1233 Sinamangal, Kathmandu, Nepal","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/bridgewater-international-college,Private,,,,,
Rehdon Higher Secondary School and College,HSEB,"977-1-4352761, 4364106",rehdon@info.com.np,http://www.rehdoncollege.edu.np/,Samakhusi       ,Kathmandu,Bagmati," Rehdon International College Samakhusi, Kathmandu, Nepal Post Box: 9960","Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Humanities",http://edusanjal.com/college/rehdon-higher-secondary-school-and-college,Private,,,,,
Pentagon International College,HSEB,"977-1-4112324,4112325,4462745",info@pentagonintl.com,http://www.pentagon.edu.np/,Tinkune       ,Kathmandu,Bagmati," Pentagon International College Tinkune, Kathmandu, Nepal","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/pentagon-international-college,Private,,,,,
Diamond College,HSEB,977-1-4371603,info@diamondcollege.edu.np,http://www.diamondcollege.edu.np/,Narayan Gopal Chowk       ,Kathmandu,Bagmati," Diamond College Narayan Gopal Chowk, Chakrapath, Kapan Marga","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/diamond-college,Private,,,,,
Kathmandu United (KU) City College,HSEB,"977-1-4823366, 4823066",kucedu@gmail.com,,"Saraswotinagar, Chabhil       ",Kathmandu,Bagmati,"Saraswotinagar, Chabhil  Kathmandu   Bagmati","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/kathmandu-united-ku-city-college,Private,,,,,
Lumbini Academy Higher Secondary School and College,HSEB,977-1-4473243,info@laf.edu.np,http://www.laf.edu.np/,"Chabhil, Chuchepati       ",Kathmandu,Bagmati," Lumbini Academic College/ Academy HS School Chabhil, Chuchepati, Kathmandu Nepal","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/lumbini-academy-higher-secondary-school-and-college,Private,,,,,
Sagarmatha Multiple College,HSEB,"977-1-4433334, 4433810, 4429423",smcoll@wlink.com.np,http://www.smcollege.edu.np/smc/,Dillibazar       ,Kathmandu,Bagmati," Sagarmatha Multiple College GPO Box: 19363 Dillibazar, Kathmandu","Ten Plus Two Humanities ; 30;,Ten Plus Two Management ; 200;,Ten Plus Two Science ; 140;",http://edusanjal.com/college/sagarmatha-multiple-college,Private,,,,,
Morgan International College,HSEB,"977-1-4354088, 4356876, 4389516, 4389517,4389518, 4389519.",info@morgancollege.edu.np,http://www.morgancollege.edu.np/,Basundhara       ,Kathmandu,Bagmati," Morgan International College Basundhara-3, Kathmandu.","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/morgan-international-college,Private,,,,,
Xavier Academy,HSEB,"977-1-4430025, 4424289",info@xa.edu.np,http://www.xa.edu.np/,Lazimpat       ,Kathmandu,Bagmati," Xavier Academy Lazimpat, Kathmandu, Nepal","Ten Plus Two Management ; 140;,Ten Plus Two Science ; 120;",http://edusanjal.com/college/xavier-academy,Private,,,,,
Ashirwad College,HSEB,"977-1-4356231, 4352589",,,Samakhusi       ,Kathmandu,Bagmati," Ashirwad College Samakhusi, Kathmandu",Ten Plus Two Management,http://edusanjal.com/college/ashirwad-college,Private,,,,,
Advanced Academy,HSEB,"977-1-5528307, 5521235",info@advancedacademy.edu.np,http://www.advancedacademy.edu.np/,Kupandole       ,Lalitpur,Bagmati," Advanced Academy Kupandole, kandebatasthan, Lalitpur","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/advanced-academy,Private,,,,,
Active Academy College,HSEB,977-1-4356400,activeacademy@gmail.com,http://activeacademycollege.edu.np/,Basundhara       ,Kathmandu,Bagmati," Active Academy College Basundhara, Kathmandu","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/active-academy-college,Private,,,,,
Pinnacle Higher Secondary School and College,HSEB,"977-1-5544023, 5524723",info@pinnacle.edu.np,http://www.pinnacle.edu.np/,Lagankhel       ,Lalitpur,Bagmati," Pinnacle Academy/ College Lagankhel, Lalitpur, Nepal.","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/pinnacle-higher-secondary-school-and-college,Private,,,,,
Everest Multiple College-Thamel,HSEB,"977-1-4352224, 4352358",emc@emc.edu.np,http://www.emc.edu.np/,"Galkopakha, Thamel       ",Kathmandu,Bagmati,"Galkopakha, Thamel  Kathmandu   Bagmati","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/everest-college-multiple-studies,Private,,,,,
National College of Computer Studies (NCCS),HSEB,"977-1-4251711,4267961",info@nccs.edu.np,http://www.nccs.edu.np/,Paknajol       ,Kathmandu,Bagmati," National College of Computer Studies Paknajol, Kathmandu",Ten Plus Two Management ; 501;,http://edusanjal.com/college/national-college-computer-studies,Private,,,,,
United Academy and College,HSEB,"977-1-5537527, 5537530, 5533192",ucollege@united.edu.np,http://www.united.edu.np/,Satdobato       ,Lalitpur,Bagmati," United Academy College G.P.O. box: 8975 EPC 1195, Lalitpur, Nepal","Ten Plus Two Humanities ; 35;,Ten Plus Two Science ; 600;,Ten Plus Two Management ; 600;",http://edusanjal.com/college/united-academy-and-college,Private,,,,,
Texas International College,HSEB,"977-1-4479017, 4483955",texasintl@edu.np,http://www.texasintl.edu.np/,Chabhil       ,Kathmandu,Bagmati," Texas International College Mitrapark, Chabhil, Kathmandu","Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Humanities",http://edusanjal.com/college/texas-international-higher-secondary-school-and-college,Private,,,,,
Prasadi Academy Higher Secondary School,HSEB,"977-1-5530562, 5541117",info@prasadi.edu.np,http://www.prasadi.edu.np/,Manbhawan       ,Lalitpur,Bagmati," Prasadi Academy Manbhavan, Tafalhon, Lalitpur, GPO 8975, EPC 1186","Ten Plus Two Management ; 320; ; 63550;,Ten Plus Two Science ; 280; ; 82550;",http://edusanjal.com/college/prasadi-academy-higher-secondary-school,Private,,,,,
Sigma College,HSEB,977-1-4358484,info@sigmacollege.com,http://sigmacollege.com/,Sorakhutte       ,Kathmandu,Bagmati," Sigma College Sorakhutte, Kathmandu","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/sigma-college,Private,,,,,
Galaxy Public School,HSEB,"977-1-4410076,4414584",galaxy@enet.com.np,http://www.galaxy.edu.np/,Gyaneshwor       ,Kathmandu,Bagmati," Galaxy Eduction Foundation P.O. Box No.: 4901 Gyaneshwor, Kathmandu, Nepal","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/galaxy-public-school,Private,,,,,
Brilliant Multiple Campus,HSEB,"977-1-4478687, 4488714, 4495736",,http://www.brilliant.edu.np/,Siphal       ,Kathmandu,Bagmati," Brilliant Multiple Campus/Brilliant Educational Higher Secondary School Siphal, Kathmandu,","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/brilliant-multiple-campus,Private,,,,,
KIST College,HSEB,"977-1-4434990,4434178",kist@info.com.np,http://www.kist.edu.np/,Kamalpokhari       ,Kathmandu,Bagmati," KIST College PO Box: 3928, Kamalpokhari, Kathmandu, Nepal","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/kist-college,Private,,,,,
Bhanubhakta Memorial College,HSEB,"977-1-4435144,4419474",bhanubhakta@wlink.com.np,http://www.bbmc.edu.np/,Panipokhari       ,Kathmandu,Bagmati," Bhanubhakta Memorial College P.O. Box: 10597, Panipokhari (Opp. to Japanese Embassy), Ktm, Nepal","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/bhanubhakta-memorial-college,Private,,,,,
Brihaspati Vidya Sadan,HSEB,"977-1-4419878, 4418030",info@bvs.edu.np,http://www.bvs.edu.np/,Naxal       ,Kathmandu,Bagmati," Brihaspati Vidyasadan BalMandir Compound, Naxal, Kathmandu","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/brihaspati-vidya-sadan,Private,,,,,
Siddhartha Vanasthali Institute,HSEB,"977-1-4350884,4350075",rupak@sidarth.wlink.com.np,http://www.svi.edu.np/,Balaju       ,Kathmandu,Bagmati,Balaju  Kathmandu   Bagmati,"Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/siddhartha-vanasthali-institute,Private,,,,,
Saipal Academy,HSEB,"977-1-4009054, 4009055",saipal@mail.com.np,http://www.saipal.edu.np/,Dhumbarahi       ,Kathmandu,Bagmati,Dhumbarahi  Kathmandu   Bagmati,"Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/saipal-academy,Private,,,,,
Everest International College and Higher Secondary School,HSEB,"977-1-4274590, 2030200",info@eicollege.com,http://www.eicollegeedu.com/,"Soaltee Mode, Kalimati       ",Kathmandu,Bagmati,"Soaltee Mode, Kalimati  Kathmandu   Bagmati","Ten Plus Two Science,Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/everest-international-college-and-higher-secondary-school,Private,,,,,
Gyankunj Higher Secondary School and College,HSEB,"977-1-4270133, 4272330, 4272334",info@gyankunjfoundation.edu.np,http://www.gyankunjfoundation.edu.np/,Ravibhawan       ,Kathmandu,Bagmati,Ravibhawan  Kathmandu   Bagmati,"Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/gyankunj-higher-secondary-school-and-college,Private,,,,,
Richmond International College,HSEB,"977-1-4275927, 4273861",info@richmond.edu.np,http://www.richmond.edu.np/,Kalanki       ,Kathmandu,Bagmati,Kalanki  Kathmandu   Bagmati,"Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/richmond-international-college,Private,,,,,
Pasang Lhamu Sherpa Memorial College,HSEB,"977-1-4363000, 4382617, 4353810",info@plsmc.edu.np,http://plsmc.edu.np/,Samakhusi       ,Kathmandu,Bagmati,Samakhusi  Kathmandu   Bagmati,"Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/pasang-lhamu-sherpa-memorial-college,Private,,,,,
Prajjwal Collegiate Academy,HSEB,977-23 529748,,,        ,Jhapa,Mechi,Jhapa  Jhapa   Mechi,Ten Plus Two Management,http://edusanjal.com/college/projjwal-collegiate-academy,Private,,,,,
