OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,Courses,HighSchoolCourses,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Tribhuvan University School of Management,Tribhuvan University,977-1-4332719,info@somtu.edu.np,http://somtu.edu.np/,Kirtipur       ,Kathmandu,Bagmati,Kirtipur  Kathmandu   Bagmati,"MBA in Global Leadership and Management ; 20;,Master of Business Administration (MBA) ; 35; ; 385000;,Master of Finance and Control (MFC) ; 35; ; 360000;,Master of Business Administration in Information Technology (MBA IT) ; 460000;",,"MBA in Global Leadership and Management ; 20;,Master of Business Administration (MBA) ; 35; ; 385000;,Master of Finance and Control (MFC) ; 35; ; 360000;,Master of Business Administration in Information Technology (MBA IT) ; 460000;",http://edusanjal.com/college/tribhuvan-university-school-management,Public,,,,,
Kathmandu University School of Arts,Kathmandu University,"977-01-5251294, 977-015251306",kusoa@ku.edu.np,http://www.ku.edu.np/arts/,Hattiban       ,Lalitpur,Bagmati,Hattiban  Lalitpur   Bagmati,"Masters in Landscapes Management and Heritage Studies,Masters in Development Studies,Bachelor in Community Development,Bachelor of Arts in Buddhist Studies with Himalayan Language,Master of Arts (MA) in Buddhist Studies,Bachelor in Economics,Bachelor in Media Studies,Master in Human and Natural Resource Studies,Bachelor of Fine Arts (BFA),Bachelor in Music / Enthnomusicology,Masters in Ethnomusicology",,"Masters in Landscapes Management and Heritage Studies,Masters in Development Studies,Bachelor in Community Development,Bachelor of Arts in Buddhist Studies with Himalayan Language,Master of Arts (MA) in Buddhist Studies,Bachelor in Economics,Bachelor in Media Studies,Master in Human and Natural Resource Studies,Bachelor of Fine Arts (BFA),Bachelor in Music / Enthnomusicology,Masters in Ethnomusicology",http://edusanjal.com/college/kathmandu-university-school-arts,Public,,,,,
Tri-Chandra Multiple Campus,Tribhuvan University,01-4225743,,http://www.tutrichandracampus.edu.np/,Ghantaghar       ,Kathmandu,Bagmati," Tri-Chandra Campus Ghantaghar, Kathmandu, Nepal","M.Sc in Microbiology,Bachelor of Science (B.Sc) in Microbiology,Master of Science (M.Sc) Chemistry,Bachelor of Science (B.Sc) in Environmental Science,Bachelor of Science (B.Sc) in Physics,Bachelor of Science (B.Sc.) in Geology,Post Graduate Diploma in Counseling Psychology,MA Population Studies,MA Nepali,MA Sociology and Anthropology,Master of Arts (MA) in Rural Development",,"M.Sc in Microbiology,Bachelor of Science (B.Sc) in Microbiology,Master of Science (M.Sc) Chemistry,Bachelor of Science (B.Sc) in Environmental Science,Bachelor of Science (B.Sc) in Physics,Bachelor of Science (B.Sc.) in Geology,Post Graduate Diploma in Counseling Psychology,MA Population Studies,MA Nepali,MA Sociology and Anthropology,Master of Arts (MA) in Rural Development",http://edusanjal.com/college/tri-chandra-multiple-campus,Public,,,,,
Padmakanya Campus,Tribhuvan University,"977-4224149, 4221712",info@pkcampus.edu.np,http://pkcampus.edu.np/,Bagbazar       ,Kathmandu,Bagmati," Padma Kanya Campus Bagbazar, Kathmandu","Bachelor of Business Administration (BBA) ; 64;,Post Graduate Diploma in Women Studies,Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Master of Arts (MA) in Rural Development,MA Population Studies,Master of Arts (MA) in English,Master of Arts (MA) in Economics,MA Sociology and Anthropology,Master of Business Studies (MBS),MA Nepali,MA Political Science,Master in Psychology",,"Bachelor of Business Administration (BBA) ; 64;,Post Graduate Diploma in Women Studies,Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Master of Arts (MA) in Rural Development,MA Population Studies,Master of Arts (MA) in English,Master of Arts (MA) in Economics,MA Sociology and Anthropology,Master of Business Studies (MBS),MA Nepali,MA Political Science,Master in Psychology",http://edusanjal.com/college/padma-kanya-campus,Public,,,,,
The Chandbagh Higher Secondary School,HSEB,"01-4371229, 4371229",principal@chandbagh.edu.np,http://chandbagh.edu.np/,Bansbari       ,Kathmandu,Bagmati,Bansbari  Kathmandu   Bagmati,Ten Plus Two Management,Ten Plus Two Management,,http://edusanjal.com/college/chandbagh-higher-secondary-school,Private,,,,,
MidWestern University School of Science and Technology,Mid-Western University,"083-521315, 9848085540",,," , Birendranagar        ",Surkhet,Bheri,"Surkhet, Birendranagar   Surkhet   Bheri","Bachelor of Science (B.Sc) in Botany,Bachelor of Science (B.Sc) in Statistics,Bachelor of Science (B.Sc) in Zoology,Bachelor of Science in Mathematics",,"Bachelor of Science (B.Sc) in Botany,Bachelor of Science (B.Sc) in Statistics,Bachelor of Science (B.Sc) in Zoology,Bachelor of Science in Mathematics",http://edusanjal.com/college/midwestern-university-school-of-science-technology,Public,,,,,
CG Institute of Management,Limkokwing University of Creative Technology ,"977-1-4107101, 4107114",info@cgim.edu.np,http://cgim.edu.np/,"Minbhawan, Anup Marg       ",Kathmandu,Bagmati,"Minbhawan, Anup Marg  Kathmandu   Bagmati","Bachelor of Business Administration (BBA) ; 773800;,Masters of Business Administration (MBA) ; 30; ; 542400;",,"Bachelor of Business Administration (BBA) ; 773800;,Masters of Business Administration (MBA) ; 30; ; 542400;",http://edusanjal.com/college/cg-institute-management,Private,,,,,
Prithvi Narayan Multiple Campus,Tribhuvan University,"977-61-526837, 520142, 520143, 531944",,http://pncampus.edu.np/ns/,"Bagar, Pokhara       ",Kaski,Gandaki," Prithvi Narayan Campus Bagar, Pokhara","Bachelor of Business Administration (BBA) ; 64;,M.Sc in Physics ; 80;,MA Political Science,Bachelor of Laws,MA Nepali,MA Sociology and Anthropology,One year Bachelor of Education (B.Ed),MA Population Studies,Bachelor of Education (B.Ed),Master of Arts (MA) in English,Master of Arts (MA) in Economics,Bachelor of Arts Bachelor of Laws (BALLB),Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Master of Business Studies (MBS),Master of Arts (MA) in History,Bachelor of Science (B.Sc) in Microbiology,MA Geography,Master of Science (M.Sc) in Mathematics,M.Ed English Language Education,M.Ed Nepali Language Education,M.Ed Education Planning and Management,M.Ed Curriculum and Evaluation,Master of Education (M.Ed) in Economics Education,Master of Education (M.Ed) in Health Education,Masters of Education (M.Ed) in Mathematics Education",,"Bachelor of Business Administration (BBA) ; 64;,M.Sc in Physics ; 80;,MA Political Science,Bachelor of Laws,MA Nepali,MA Sociology and Anthropology,One year Bachelor of Education (B.Ed),MA Population Studies,Bachelor of Education (B.Ed),Master of Arts (MA) in English,Master of Arts (MA) in Economics,Bachelor of Arts Bachelor of Laws (BALLB),Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Master of Business Studies (MBS),Master of Arts (MA) in History,Bachelor of Science (B.Sc) in Microbiology,MA Geography,Master of Science (M.Sc) in Mathematics,M.Ed English Language Education,M.Ed Nepali Language Education,M.Ed Education Planning and Management,M.Ed Curriculum and Evaluation,Master of Education (M.Ed) in Economics Education,Master of Education (M.Ed) in Health Education,Masters of Education (M.Ed) in Mathematics Education",http://edusanjal.com/college/prithvi-narayan-multiple-campus,Public,,,,,
Mid-western University School of Management,Mid-Western University,977-83525488,tms@mwu.edu.np,,        ,Surkhet,Bheri,Surkhet  Surkhet   Bheri,"Bachelor of Business Administration (BBA),Bachelor of Business Studies (BBS),Master of Business Studies (MBS),Master of Business Administration (MBA)",,"Bachelor of Business Administration (BBA),Bachelor of Business Studies (BBS),Master of Business Studies (MBS),Master of Business Administration (MBA)",http://edusanjal.com/college/mid-western-university-school-of-management,Public,,,,,
MidWestern University School of Humanities and Social Sciences,Mid-Western University,"083-520309, 083-520228",,," , Birendranagar        ",Surkhet,Bheri,"Surkhet, Birendranagar   Surkhet   Bheri","BA - Development Economics,MA - Development Economics,BA - Social Work,BA - International Relations,MA - International Relations,BA - Conflict and Peace Studies,MA - International Cooperation and Development",,"BA - Development Economics,MA - Development Economics,BA - Social Work,BA - International Relations,MA - International Relations,BA - Conflict and Peace Studies,MA - International Cooperation and Development",http://edusanjal.com/college/midwestern-university-school-of-humanities-social-sciences,Public,,,,,
Premier College,Tribhuvan University,"977-1-4467468, 4469736",,http://www.premiereducation.org.np/,Baneshwor       ,Kathmandu,Bagmati," Premier College New Baneshwor Kathmandu (North of BICC-way to Old Baneshwor), Devkota Marga, Kathmandu","Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Master of Business Studies (MBS),CAP - I,CAP - II,CAP - III",,"Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Master of Business Studies (MBS),CAP - I,CAP - II,CAP - III",http://edusanjal.com/college/premier-college,Private,,,,,
Excel International College,Pokhara University,"977-1- 4485109, 4462170",info@excelcollege.edu.np,http://www.excelcollege.edu.np/,"Lakhechaur Marg, New Baneshwor       ",Kathmandu,Bagmati,"Lakhechaur Marg, New Baneshwor  Kathmandu   Bagmati","Bachelor of Business Administration (BBA) ; 96;,Bachelor of Business Administration in Banking and Insurance (BBA-BI)",,"Bachelor of Business Administration (BBA) ; 96;,Bachelor of Business Administration in Banking and Insurance (BBA-BI)",http://edusanjal.com/college/excel-international-college,Private,,,,,
National Open College (NOC),Pokhara University,977-1-5548098/ 5520326/ 016224665 /016222222,noc.sanepa@gmail.com,http://www.noc.edu.np/,Sanepa (Near Sajha Petrol Pump)       ,Lalitpur,Bagmati,Sanepa (Near Sajha Petrol Pump)  Lalitpur   Bagmati,"Bachelor of Business Administration (BBA) ; 48;,Bachelor of Health Care Management (BHCM) ; 48;,Bachelor of Public Health (BPH) ; 40;,Master of Healthcare Management (MHCM),Post Graduate Diploma in Healthcare Management (PGDHCM)",,"Bachelor of Business Administration (BBA) ; 48;,Bachelor of Health Care Management (BHCM) ; 48;,Bachelor of Public Health (BPH) ; 40;,Master of Healthcare Management (MHCM),Post Graduate Diploma in Healthcare Management (PGDHCM)",http://edusanjal.com/college/national-open-college,Private,,,,,
Camad College,Pokhara University,01-4650643/4375100,camadcollege7@gmail.com,http://www.camadcollege.edu.np/,Sukedhara       ,Kathmandu,Bagmati,Sukedhara  Kathmandu   Bagmati,"Bachelor of Business Administration (BBA) ; 96;,Bachelor of Arts in Development Studies ; 48;",,"Bachelor of Business Administration (BBA) ; 96;,Bachelor of Arts in Development Studies ; 48;",http://edusanjal.com/college/camad-college,Private,,,,,
Patan Academy of Health Sciences School of Medicine,Patan Academy of Health Sciences,977-1-5545112,info@pahs.edu.np,http://www.pahs.edu.np/,Lagankhel       ,Lalitpur,Bagmati," Patan Academy of Health Sciences School of Medicine Lagankhel, Lalitpur, Nepal GPO Box No. 26500, Kathmandu Phone +977-1-5545112, Fax: +977-1-5545114","Bachelor of Medicine, Bachelor of Surgery (MBBS) ; 55;",,"Bachelor of Medicine, Bachelor of Surgery (MBBS) ; 55;",http://edusanjal.com/college/patan-academy-health-sciences-school-medicine,Public,,,,,
Ritz Hospitality Management College,Pokhara University,"977-1-5538188, 5539060",info@ritzhospitality.edu.np,http://www.ritzhospitality.edu.np/,Balkumari       ,Lalitpur,Bagmati," Ritz Hospitality Management College Balkumari - 9, Lalitpur, Nepal","Bachelor of Business Administration (BBA) ; 48;,Bachelor of Hotel Management (BHM) ; 96;",,"Bachelor of Business Administration (BBA) ; 48;,Bachelor of Hotel Management (BHM) ; 96;",http://edusanjal.com/college/ritz-hospitality-management-college,Private,,,,,
Quest International College,Pokhara University,"977-1-5547669, 5521950",info@quest.edu.np,http://quest.edu.np/,Gwarko       ,Lalitpur,Bagmati,Gwarko  Lalitpur   Bagmati,"Bachelor of Business Administration (BBA) ; 96;,Bachelor of Hotel Management (BHM) ; 48;",,"Bachelor of Business Administration (BBA) ; 96;,Bachelor of Hotel Management (BHM) ; 48;",http://edusanjal.com/college/quest-international-college,Private,,,,,
Platinum Management College,Pokhara University,"977-1-4418046, 4420928, 4442717",info@platinumcollege.edu.np,http://platinumcollege.edu.np/,"Kalikasthan, Dillibazar       ",Kathmandu,Bagmati," Platinum Management College Kalikasthan, Dillibazar, Kathmandu",Bachelor of Business Administration (BBA) ; 96;,,Bachelor of Business Administration (BBA) ; 96;,http://edusanjal.com/college/platinum-management-college,Private,,,,,
Sahid Ramnath Dahal Multiple Campus,"Pokhara University,Tribhuvan University",01-4360969/ 4361486,collegemrm@yahoo.com,http://www.mrmcampus.edu.np/,Vanasthali Chowk       ,Kathmandu,Bagmati,Vanasthali Chowk  Kathmandu   Bagmati,"Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",,"Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/martyr-ramnath-multiple-campus,Private,,,,,
Kathmandu BernHardt College,Tribhuvan University,"01-4672506, 4672507",bernhardt@wlink.com.np,http://www.kbc.edu.np/,Bafal       ,Kathmandu,Bagmati,Bafal  Kathmandu   Bagmati,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Social Works (BSW),Master of Business Studies (MBS)",,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Social Works (BSW),Master of Business Studies (MBS)",http://edusanjal.com/college/kathmandu-bernhardt-college,Private,,,,,
Liberty College,Pokhara University,977- 1- 4222612,info@libertycollege.edu.np,http://www.libertycollege.edu.np/,"Anamnagar, Pragati Marg-2       ",Kathmandu,Bagmati," Liberty College PO Box: 10407 Pargati Marg-2, Anamnagar Kathmandu",Bachelor of Business Administration (BBA) ; 96;,,Bachelor of Business Administration (BBA) ; 96;,http://edusanjal.com/college/liberty-college,Private,,,,,
Columbus Higher Secondary School,"HSEB,Tribhuvan University","977-1-4781747, 4784883",college@columbus.edu.np,http://www.columbus.edu.np/,New Baneshwor       ,Kathmandu,Bagmati," Columbus Higher Secondary School and College P.O Box: 23728, Shankhamul Marg New Baneshwor, Kathmandu, Nepal","Ten Plus Two Management,Ten Plus Two Science,Bachelor of Social Works (BSW),Bachelor of Business Studies (BBS)","Ten Plus Two Management,Ten Plus Two Science","Bachelor of Social Works (BSW),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/columbus-higher-secondary-school,Private,,,,,
Campion College,Tribhuvan University,"977-1-5521753, 5531432, 5531436",campionschool@gmail.com,http://www.cgmanipal.com/,Kupondole       ,Lalitpur,Bagmati," Campion College, Kupondole, Lalitpur, Nepal","Bachelor of Business Administration (BBA) ; 64;,Master of Business Studies (MBS),MA Sociology and Anthropology,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Bachelor of Arts-BA,Master of Arts (MA) in Rural Development",,"Bachelor of Business Administration (BBA) ; 64;,Master of Business Studies (MBS),MA Sociology and Anthropology,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Bachelor of Arts-BA,Master of Arts (MA) in Rural Development",http://edusanjal.com/college/campion-college,Private,,,,,
"Everest College, Thapathali","HSEB,Tribhuvan University","977-1-4231460, 4266652, 4229653",info@everestcollege.edu.np,http://everestcollege.edu.np/,Thapathali       ,Kathmandu,Bagmati,Thapathali  Kathmandu   Bagmati,"Bachelor of Business Administration (BBA) ; 64;,Ten Plus Two Management,Bachelor of Business Studies (BBS) ; 120;,Master of Business Studies (MBS) ; 40;",Ten Plus Two Management,"Bachelor of Business Administration (BBA) ; 64;,Bachelor of Business Studies (BBS) ; 120;,Master of Business Studies (MBS) ; 40;",http://edusanjal.com/college/everest-college-thapathali,Private,,,,,
SAIM College,Pokhara University,977-1-5544430 5522044,info@saim.edu.np,http://www.saim.edu.np/,Lagankhel       ,Lalitpur,Bagmati," SAIM (South Asian Institute of Management )College Mahalaxmisthan Marga Lagankhel, Lalitpur","Bachelor of Business Administration (BBA) ; 48;,MBA (Global Business)",,"Bachelor of Business Administration (BBA) ; 48;,MBA (Global Business)",http://edusanjal.com/college/saim-college,Private,,,,,
Islington College,London Metropolitan University,"977-1-4412929, 4420054",info@islington.edu.np,http://www.islington.edu.np/,Kamal Pokhari       ,Kathmandu,Bagmati,Kamal Pokhari  Kathmandu   Bagmati,"B.Sc Computer Networking and IT Security,B.Sc. (Hons) in Computing (3 or 4 year Track),Bachelor Degree in Multimedia Technologies (BIT),Master of Science in Information Technology (M.Sc IT),Bachelor Degree in Business Administration (BBA)",,"B.Sc Computer Networking and IT Security,B.Sc. (Hons) in Computing (3 or 4 year Track),Bachelor Degree in Multimedia Technologies (BIT),Master of Science in Information Technology (M.Sc IT),Bachelor Degree in Business Administration (BBA)",http://edusanjal.com/college/islington-college,Private,,,,,
Padmashree International College,"Nilai University College, Malaysia,Tribhuvan University","977-1-2111404, 4112252",info@padmashreecollege.edu.np,http://www.padmashreecollege.edu.np/,Tinkune       ,Kathmandu,Bagmati," Padhmashree International College GPO Box no. 464 Tinkune, Kathmandu","B.Tech. Food Technology,BA (Hons) in Business and Hospitality Management,Bachelor of Science in Information Technology (B.Sc IT)",,"B.Tech. Food Technology,BA (Hons) in Business and Hospitality Management,Bachelor of Science in Information Technology (B.Sc IT)",http://edusanjal.com/college/padmashree-international-college,Private,,,,,
Gateway College of Professional Studies,Purbanchal University,"977-1-4361747,4389083",email@professionalstudies.edu.np,http://www.professionalstudies.edu.np/,Samakhushi       ,Kathmandu,Bagmati,Samakhushi  Kathmandu   Bagmati,Bachelor of Hotel Management (BHM),,Bachelor of Hotel Management (BHM),http://edusanjal.com/college/gateway-college-professional-studies,Private,,,,,
Kantipur Valley College,Purbanchal University,977-1-5538233,info@kvc.com.np,http://kvc.com.np/,Kumaripati       ,Lalitpur,Bagmati," Kantipur Valley College Within the premises of PUBOHSS (+2 College) GPO Box: 8975, EPC: 2310, Kumaripati, Lalitpur, Nepal","Bachelor of Business Administration (BBA) ; 80;,B.Tech (Biotechnology) ; 48;,Master of Business Administration (MBA) ; 30;,Executive MBA ; 30;",,"Bachelor of Business Administration (BBA) ; 80;,B.Tech (Biotechnology) ; 48;,Master of Business Administration (MBA) ; 30;,Executive MBA ; 30;",http://edusanjal.com/college/kantipur-valley-college,Private,https://www.facebook.com/KVCollege,,,,
Malpi International College,Pokhara University,"977-1-4442066, 4442067, 4442068",admissions@mic.edu.np,http://www.mic.edu.np/,Baluwatar       ,Kathmandu,Bagmati,Baluwatar  Kathmandu   Bagmati,Bachelor of Business Administration (BBA) ; 48;,,Bachelor of Business Administration (BBA) ; 48;,http://edusanjal.com/college/malpi-international-college,Private,,,,,
Malpi Institute,Cambridge University,"977 1 4442066, 4442067, 4442068",admissions@mic.edu.np,http://www.mic.edu.np/,Subarna Shamsher Marg in Baluwatar       ,Kathmandu,Bagmati,"Malpi Institute, Subarna Shamsher Marg in Baluwatar, Kathmandu","GCE A level Non-Science,GCE A level- Science",,"GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/malpi-institute,Private,,,,,
Silkroad International College,Purbanchal University,"977-1-4374168, 4016632",silkroad@sicollege.edu.np,http://www.sicollege.edu.np/,Basundhara       ,Kathmandu,Bagmati," Silkroad International College Narayangopal Chowk, Basundhara, Kathmandu",Bachelor of Business Administration (BBA),,Bachelor of Business Administration (BBA),http://edusanjal.com/college/silkroad-international-college,Private,,,,,
Mid-Valley International College,HELP University College,977-1-4435188,info@vchm.edu.np,http://www.vchm.edu.np/,Gyaneshwor       ,Kathmandu,Bagmati," Mid-Valley International College Gyaneshwor, Kathmandu","BBus in Hospitality Management (Hons),Bachelor of Business (Accounting) Hons,Bachelor of Business (Finance) Hons",,"BBus in Hospitality Management (Hons),Bachelor of Business (Accounting) Hons,Bachelor of Business (Finance) Hons",http://edusanjal.com/college/mid-valley-international-college,Private,,,,,
Nesfield International College,Tribhuvan University,"977-1-5525125, 5525330, 2239637",info@nesfield.edu.np,http://www.nesfield.edu.np/,"Gyan Griha, Batukbhairabsthan Lagankhel       ",Lalitpur,Bagmati," Nesfield International College PO Box: 8975, EPC. 2982 Gyan Griha, Batukbhairabsthan, Lagankhel Lalitpur","Bachelor of Hotel Management (BHM) ; 84;,Bachelor of Social Works (BSW),Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Master of Business Studies (MBS)",,"Bachelor of Hotel Management (BHM) ; 84;,Bachelor of Social Works (BSW),Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Master of Business Studies (MBS)",http://edusanjal.com/college/nesfield-international-college,Private,,,,,
Premier Higher Secondary School,HSEB,"977-1-4107138, 410 7198",info@premiercollege.edu.np,http://www.premiercollege.edu.np/,New Baneshwor       ,Kathmandu,Bagmati,New Baneshwor  Kathmandu   Bagmati,"Ten Plus Two Humanities ; 20;,Ten Plus Two Management ; 240;,Ten Plus Two Science ; 160;","Ten Plus Two Humanities ; 20;,Ten Plus Two Management ; 240;,Ten Plus Two Science ; 160;",,http://edusanjal.com/college/premier-higher-secondary-school,Private,,,,,
Phoenix College of Management,Lincoln University College ,"977-1-4491697, 4461372, 9801037492",info@phoenixcollege.edu.np,http://phoenixcollege.edu.np/,"Thapagaun, Bijuli Bazaar, New Baneshwor       ",Kathmandu,Bagmati,"Thapagaun, Bijuli Bazaar, New Baneshwor  Kathmandu   Bagmati","Bachelor of Business Administration (BBA),Master of Business Administration (MBA)",,"Bachelor of Business Administration (BBA),Master of Business Administration (MBA)",http://edusanjal.com/college/phoenix-college-management,Private,,,,,
