OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Patan Academy of Health Sciences School of Medicine,Patan Academy of Health Sciences,977-1-5545112,info@pahs.edu.np,http://www.pahs.edu.np/,Lagankhel       ,Lalitpur,Bagmati," Patan Academy of Health Sciences School of Medicine Lagankhel, Lalitpur, Nepal GPO Box No. 26500, Kathmandu Phone +977-1-5545112, Fax: +977-1-5545114","Bachelor of Medicine, Bachelor of Surgery (MBBS) ; 55;",http://edusanjal.com/college/patan-academy-health-sciences-school-medicine,Public,,,,,
Ritz Hospitality Management College,Pokhara University,"977-1-5538188, 5539060",info@ritzhospitality.edu.np,http://www.ritzhospitality.edu.np/,Balkumari       ,Lalitpur,Bagmati," Ritz Hospitality Management College Balkumari - 9, Lalitpur, Nepal","Bachelor of Business Administration (BBA) ; 48;,Bachelor of Hotel Management (BHM) ; 96;",http://edusanjal.com/college/ritz-hospitality-management-college,Private,,,,,
Quest International College,Pokhara University,"977-1-5547669, 5521950",info@quest.edu.np,http://quest.edu.np/,Gwarko       ,Lalitpur,Bagmati,Gwarko  Lalitpur   Bagmati,"Bachelor of Business Administration (BBA) ; 96;,Bachelor of Hotel Management (BHM) ; 48;",http://edusanjal.com/college/quest-international-college,Private,,,,,
Platinum Management College,Pokhara University,"977-1-4418046, 4420928, 4442717",info@platinumcollege.edu.np,http://platinumcollege.edu.np/,"Kalikasthan, Dillibazar       ",Kathmandu,Bagmati," Platinum Management College Kalikasthan, Dillibazar, Kathmandu",Bachelor of Business Administration (BBA) ; 96;,http://edusanjal.com/college/platinum-management-college,Private,,,,,
Sahid Ramnath Dahal Multiple Campus,"Pokhara University,Tribhuvan University",01-4360969/ 4361486,collegemrm@yahoo.com,http://www.mrmcampus.edu.np/,Vanasthali Chowk       ,Kathmandu,Bagmati,Vanasthali Chowk  Kathmandu   Bagmati,"Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/martyr-ramnath-multiple-campus,Private,,,,,
Kathmandu BernHardt College,Tribhuvan University,"01-4672506, 4672507",bernhardt@wlink.com.np,http://www.kbc.edu.np/,Bafal       ,Kathmandu,Bagmati,Bafal  Kathmandu   Bagmati,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Social Works (BSW),Master of Business Studies (MBS)",http://edusanjal.com/college/kathmandu-bernhardt-college,Private,,,,,
Liberty College,Pokhara University,977- 1- 4222612,info@libertycollege.edu.np,http://www.libertycollege.edu.np/,"Anamnagar, Pragati Marg-2       ",Kathmandu,Bagmati," Liberty College PO Box: 10407 Pargati Marg-2, Anamnagar Kathmandu",Bachelor of Business Administration (BBA) ; 96;,http://edusanjal.com/college/liberty-college,Private,,,,,
Columbus Higher Secondary School,Tribhuvan University,"977-1-4781747, 4784883",college@columbus.edu.np,http://www.columbus.edu.np/,New Baneshwor       ,Kathmandu,Bagmati," Columbus Higher Secondary School and College P.O Box: 23728, Shankhamul Marg New Baneshwor, Kathmandu, Nepal","Bachelor of Social Works (BSW),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/columbus-higher-secondary-school,Private,,,,,
Campion College,Tribhuvan University,"977-1-5521753, 5531432, 5531436",campionschool@gmail.com,http://www.cgmanipal.com/,Kupondole       ,Lalitpur,Bagmati," Campion College, Kupondole, Lalitpur, Nepal","Bachelor of Business Administration (BBA) ; 64;,Master of Business Studies (MBS),MA Sociology and Anthropology,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Bachelor of Arts-BA,Master of Arts (MA) in Rural Development",http://edusanjal.com/college/campion-college,Private,,,,,
"Everest College, Thapathali",Tribhuvan University,"977-1-4231460, 4266652, 4229653",info@everestcollege.edu.np,http://everestcollege.edu.np/,Thapathali       ,Kathmandu,Bagmati,Thapathali  Kathmandu   Bagmati,"Bachelor of Business Administration (BBA) ; 64;,Bachelor of Business Studies (BBS) ; 120;,Master of Business Studies (MBS) ; 40;",http://edusanjal.com/college/everest-college-thapathali,Private,,,,,
SAIM College,Pokhara University,977-1-5544430 5522044,info@saim.edu.np,http://www.saim.edu.np/,Lagankhel       ,Lalitpur,Bagmati," SAIM (South Asian Institute of Management )College Mahalaxmisthan Marga Lagankhel, Lalitpur","Bachelor of Business Administration (BBA) ; 48;,MBA (Global Business)",http://edusanjal.com/college/saim-college,Private,,,,,
Islington College,London Metropolitan University,"977-1-4412929, 4420054",info@islington.edu.np,http://www.islington.edu.np/,Kamal Pokhari       ,Kathmandu,Bagmati,Kamal Pokhari  Kathmandu   Bagmati,"B.Sc Computer Networking and IT Security,B.Sc. (Hons) in Computing (3 or 4 year Track),Bachelor Degree in Multimedia Technologies (BIT),Master of Science in Information Technology (M.Sc IT),Bachelor Degree in Business Administration (BBA)",http://edusanjal.com/college/islington-college,Private,,,,,
Padmashree International College,"Nilai University College, Malaysia,Tribhuvan University","977-1-2111404, 4112252",info@padmashreecollege.edu.np,http://www.padmashreecollege.edu.np/,Tinkune       ,Kathmandu,Bagmati," Padhmashree International College GPO Box no. 464 Tinkune, Kathmandu","B.Tech. Food Technology,BA (Hons) in Business and Hospitality Management,Bachelor of Science in Information Technology (B.Sc IT)",http://edusanjal.com/college/padmashree-international-college,Private,,,,,
Gateway College of Professional Studies,Purbanchal University,"977-1-4361747,4389083",email@professionalstudies.edu.np,http://www.professionalstudies.edu.np/,Samakhushi       ,Kathmandu,Bagmati,Samakhushi  Kathmandu   Bagmati,Bachelor of Hotel Management (BHM),http://edusanjal.com/college/gateway-college-professional-studies,Private,,,,,
Kantipur Valley College,Purbanchal University,977-1-5538233,info@kvc.com.np,http://kvc.com.np/,Kumaripati       ,Lalitpur,Bagmati," Kantipur Valley College Within the premises of PUBOHSS (+2 College) GPO Box: 8975, EPC: 2310, Kumaripati, Lalitpur, Nepal","Bachelor of Business Administration (BBA) ; 80;,B.Tech (Biotechnology) ; 48;,Master of Business Administration (MBA) ; 30;,Executive MBA ; 30;",http://edusanjal.com/college/kantipur-valley-college,Private,https://www.facebook.com/KVCollege,,,,
Malpi International College,Pokhara University,"977-1-4442066, 4442067, 4442068",admissions@mic.edu.np,http://www.mic.edu.np/,Baluwatar       ,Kathmandu,Bagmati,Baluwatar  Kathmandu   Bagmati,Bachelor of Business Administration (BBA) ; 48;,http://edusanjal.com/college/malpi-international-college,Private,,,,,
Malpi Institute,Cambridge University,"977 1 4442066, 4442067, 4442068",admissions@mic.edu.np,http://www.mic.edu.np/,Subarna Shamsher Marg in Baluwatar       ,Kathmandu,Bagmati,"Malpi Institute, Subarna Shamsher Marg in Baluwatar, Kathmandu","GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/malpi-institute,Private,,,,,
Silkroad International College,Purbanchal University,"977-1-4374168, 4016632",silkroad@sicollege.edu.np,http://www.sicollege.edu.np/,Basundhara       ,Kathmandu,Bagmati," Silkroad International College Narayangopal Chowk, Basundhara, Kathmandu",Bachelor of Business Administration (BBA),http://edusanjal.com/college/silkroad-international-college,Private,,,,,
Mid-Valley International College,HELP University College,977-1-4435188,info@vchm.edu.np,http://www.vchm.edu.np/,Gyaneshwor       ,Kathmandu,Bagmati," Mid-Valley International College Gyaneshwor, Kathmandu","BBus in Hospitality Management (Hons),Bachelor of Business (Accounting) Hons,Bachelor of Business (Finance) Hons",http://edusanjal.com/college/mid-valley-international-college,Private,,,,,
Nesfield International College,Tribhuvan University,"977-1-5525125, 5525330, 2239637",info@nesfield.edu.np,http://www.nesfield.edu.np/,"Gyan Griha, Batukbhairabsthan Lagankhel       ",Lalitpur,Bagmati," Nesfield International College PO Box: 8975, EPC. 2982 Gyan Griha, Batukbhairabsthan, Lagankhel Lalitpur","Bachelor of Hotel Management (BHM) ; 84;,Bachelor of Social Works (BSW),Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Master of Business Studies (MBS)",http://edusanjal.com/college/nesfield-international-college,Private,,,,,
Phoenix College of Management,Lincoln University College ,"977-1-4491697, 4461372, 9801037492",info@phoenixcollege.edu.np,http://phoenixcollege.edu.np/,"Thapagaun, Bijuli Bazaar, New Baneshwor       ",Kathmandu,Bagmati,"Thapagaun, Bijuli Bazaar, New Baneshwor  Kathmandu   Bagmati","Bachelor of Business Administration (BBA),Master of Business Administration (MBA)",http://edusanjal.com/college/phoenix-college-management,Private,,,,,
K and K International College,Tribhuvan University,"977-1-4474557, 4497515",info@kandk.edu.np,http://www.kandk.edu.np/,"New Baneshwor (Infront of BICC, West Gate-2)       ",Kathmandu,Bagmati,"New Baneshwor (Infront of BICC, West Gate-2)  Kathmandu   Bagmati","Bachelor of Business Administration (BBA) ; 64;,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Bachelor of Arts-BA,Master of Arts (MA) in Rural Development,Master of Arts (MA) in Gender Studies",http://edusanjal.com/college/k-and-k-international-college,Private,,,,,
Kathmandu Model College,Tribhuvan University,"01-5201331, 5201334",info@ktmmodelcollege.edu.np,http://www.kathmandumodelcollege.edu.np/,Balkumari       ,Lalitpur,Bagmati,Balkumari  Lalitpur   Bagmati,"Bachelor of Business Administration (BBA) ; 64;,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Master of Arts (MA) in English,Master of Business Studies (MBS),Bachelor of Arts-BA",http://edusanjal.com/college/kathmandu-model-college,Private,,,,,
Asian Institute of Technology and Management (AITM),"Asian Institute of Technology, Thailand,Purbanchal University","977-1-5552376, 5541179",enquiries@aitm.edu.np,http://aitm.edu.np/,"Knowledge Village, Khumatar, Heights       ",Lalitpur,Bagmati,"Knowledge Village, Khumatar, Heights  Lalitpur   Bagmati","Bachelor of Science (B.Sc) in Information and Communication Technology,Bachelor of Information Technology (BIT),Bachelor of Computer Engineering ; 40;,Bachelor of Civil Engineering ; 96;,B.Tech (Biotechnology)",http://edusanjal.com/college/asian-institute-technology-and-management,Private,,,,,
AITM-School of Hotel Management,"IMI University Center Switzerland,Purbanchal University","977-1-5541179,5548722",info@whshm.edu.np,http://www.whshm.edu.np/,Khumaltar       ,Lalitpur,Bagmati,Khumaltar  Lalitpur   Bagmati,"Bachelor of Hotel Management (BHM),Higher Diploma in International Hotel and Tourism Management (HDHM)",http://edusanjal.com/college/aitm-school-hotel-management,Private,,,,,
International School of Tourism and Hotel Management (IST College),Salzburg University of Applied Sciences,"977 1 4434350, 4434185",,http://www.ist.org.np/,"Gyaneshwor , opposite to German Embassy        ",Kathmandu,Bagmati,"Gyaneshwor , opposite to German Embassy   Kathmandu   Bagmati","Intermediate Diploma in Hotel Management,FHS Diploma in Hotel Management",http://edusanjal.com/college/international-school-tourism-and-hotel-management,Private,,,,,
Kalika Public College,Tribhuvan University,"061-431141, 431836",,http://kalikaschool.edu.np/school/,"Rambazar, Pokhara-10       ",Kaski,Gandaki,"Rambazar, Pokhara-10  Kaski   Gandaki","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Master of Business Studies (MBS)",http://edusanjal.com/college/kalika-college,Public,,,,,
Khwopa Poly-Technic Institute,CTEVT,977-1-6613146/6619585,,,Chyamhasingh       ,Bhaktapur,Bagmati,Chyamhasingh  Bhaktapur   Bagmati,"PCL Nursing ; 40;,Diploma in Civil Engineering ; 48; ; 240000;",http://edusanjal.com/college/khwopa-poly-technic-institute,Others,,,,,
​Campion Academy,Cambridge University,"977-1-5535131, 5537959",principal.ca@cgeducation.com.np,http://cgeducation.com.np/campion_academy.php,Lagankhel (Next to Patan Hospital)       ,Lalitpur,Bagmati,Lagankhel (Next to Patan Hospital)  Lalitpur   Bagmati,"GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/campion-academy,Private,,,,,
Samriddhi College,Tribhuvan University,"01-6636700, 6636322",,http://samriddhicollege.edu.np/,Lokanthali-16       ,Bhaktapur,Bagmati,Lokanthali-16  Bhaktapur   Bagmati,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW)",http://edusanjal.com/college/samriddhi-college,Private,,,,,
Sahid Ramnath Dahal Smriti College,Pokhara University,"977-014360969, 4361486",,,Balaju Chowk. Opposite to Balaju Bhatbhateni Supermarket        ,Kathmandu,Bagmati,Balaju Chowk. Opposite to Balaju Bhatbhateni Supermarket   Kathmandu   Bagmati,"Bachelor of Business Administration (BBA),Bachelor of Business Administration in Banking and Insurance (BBA-BI)",http://edusanjal.com/college/sahid-ramnath-dahal-smriti-college,Private,,,,,
Atharva Business College,Pokhara University,"01-4372966,9851014413, 9841536381",atharvabusinesscollege@gmail.com,http://www.atharvacollege.edu.np/,"Maharajgunj, Bansbari       ",Kathmandu,Bagmati,"Maharajgunj, Bansbari  Kathmandu   Bagmati",Bachelor of Business Administration (BBA) ; 48;,http://edusanjal.com/college/atharva-business-college,Private,,,,,
Oscar International College (College of Film Studies),Tribhuvan University,"977-01-4371874, 01-4370409",mail@oscar.edu.np,http://www.oscar.edu.np/,Sukhedhara       ,Kathmandu,Bagmati,Sukhedhara  Kathmandu   Bagmati,Bachelor in Film Studies,http://edusanjal.com/college/oscar-international-college,Public,,,,,
Nepal Commerce Campus,Tribhuvan University,"977-1-4107048, 4466340 4482344",necampus@wlink.com.np,http://www.nccbba.edu.np/,Minbhawan       ,Kathmandu,Bagmati," Nepal Commerce Campus Minbhawan, Kathmandu","Master of Business Management (MBM) ; 44;,Bachelor of Business Administration (BBA) ; 96;,Master of Business Studies (MBS),Bachelor of Information Management (BIM) ; 64; ; 350000;",http://edusanjal.com/college/nepal-commerce-campus,Public,,,,,
Central Campus of Technology,Tribhuvan University,"977-25-520228, 526530, 520226",,http://www.cctdharan.com/,"Hattisar, Dharan       ",Sunsari,Koshi," Central Campus of Technology (Kendriya Prabidhi Campus) Hattisar, Dhara Post Box Number 4","Bachelor of Science (B.Sc) in Microbiology ; 50;,M.Sc in Microbiology ; 30;,B.Tech. Food Technology ; 24;,B.Sc. Nutrition and Dietetics ; 24;,M.Tech Food Technology ; 15;,Bachelor of Science (B.Sc.) in Geology ; 25;,Bachelor of Science (B.Sc) in Physics ; 25;",http://edusanjal.com/college/central-campus-of-technology,Public,,,,,
Peoples Campus,"The Institute of Chartered Accountants of Nepal (ICAN),Tribhuvan University","977-1-4251412,4251990",pcampus@wlink.com.np,http://www.peoplescampus.edu.np/,Paknajol       ,Kathmandu,Bagmati," People's Campus Paknajol, Kathmandu, Nepal P.O. Box : 20336 ","Bachelor of Business Administration (BBA) ; 64;,Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Master of Business Studies (MBS),CAP - I,CAP - II",http://edusanjal.com/college/peoples-campus,Public,,,,,
Brightland College,Tribhuvan University,"977-81-521324,550668,550487",principal@brightlandcollege.edu.np,http://www.brightlandcollege.edu.np/,"Surkhet Road, Nepalgunj       ",Banke,Bheri," Brightland College  Surkhet Road, Near Hotel Aroma, building-1, Nepalgunj-13.","Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Master of Business Studies (MBS)",http://edusanjal.com/college/brightland-college,Public,,,,,
Kathmandu Forestry College,"CTEVT,Salzburg University of Applied Sciences,Tribhuvan University",977-1-4600343,info@kafcol.edu.np,http://www.kafcol.edu.np/,Koteshwor       ,Kathmandu,Bagmati," Kathmandu Forestry College GPO: 9594, Koteswor, Kathmandu ","Diploma in Forestry ; 40;,B.Sc Forestry,M.Sc. in Geographical Information Science and Systems",http://edusanjal.com/college/kathmandu-forestry-college,Public,,,,,
Nepal Academy of Tourism and Hotel Management (NATHM),Tribhuvan University,"977-1-4270605, 4270073",nathm@mos.com.np,http://www.nathm.edu.np/,Kalimati       ,Kathmandu,Bagmati," Nepal Academy of Tourism and Hotel Management Rabi Bhawan, Kalimati  P.O.Box 4715 Kathmandu, Nepal","Master of Hospitality Management (MHM) ; 40;,Bachelor of Hotel Management (BHM) ; 126;,Bachelor in Travel and Tourism Management (BTTM) ; 84;",http://edusanjal.com/college/nepal-academy-tourism-and-hotel-management,Public,,,,,
Baneshwor Campus,Tribhuvan University,"977-1-4620310,4620332",baneshworcampus2047@yahoo.com,http://www.baneshworcampus.edu.np/,"Shantinagar,         ",Kathmandu,Bagmati," Baneshwor Campus Shantinagar, Kathmandu,","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Master of Business Studies (MBS),One year Bachelor of Education (B.Ed)",http://edusanjal.com/college/baneshwor-campus,Public,,,,,
Public Youth Campus,Tribhuvan University,"977-1-4259141, 4259142",pyc@info.com.np,http://www.pyc.edu.np/,Chhetrapati       ,Kathmandu,Bagmati," Public Youth Campus Chhetrapati, Dhobichour, Kathmandu, Nepal","Bachelor in Travel and Tourism Management (BTTM) ; 84;,Bachelor of Business Administration (BBA) ; 64;,Master of Business Studies (MBS)",http://edusanjal.com/college/public-youth-campus,Public,,,,,
Gramin Aadarsha Multiple Campus,Tribhuvan University,"01-4354124, 4381705",,,Nepaltar       ,Kathmandu,Bagmati," Gramin Aadarsha Multiple Campus Nepaltar, Balaju, Kathmandu ","Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Education (B.Ed),Master of Arts (MA) General,Master of Education (M.Ed) General,Master of Arts (MA) in Rural Development",http://edusanjal.com/college/gramin-aadarsha-multiple-campus,Public,,,,,
Budhanilkantha School,Cambridge University,"977-1-4371637, 4370248",info@bnks.edu.np,http://bnks.edu.np/,Budhanilkantha       ,Kathmandu,Bagmati,": Budhanilkantha School PO Box: 1018, Kathmandu, Nepal  ","GCE A level- Science ; 947100;,GCE A level Non-Science ; 947100;",http://edusanjal.com/college/budhanilkantha-school,Public,,,,,
Namuna Machhindra Campus,Tribhuvan University,500414/5004064,,,"Lagankhel,         ",Lalitpur,Bagmati," Namuna Machhindra Campus Lagankhel, Lalitpur  ","Bachelor of Business Studies (BBS),Bachelor of Arts-BA",http://edusanjal.com/college/namuna-machhindra-campus,Public,,,,,
GMS Multiple Campus,Tribhuvan University,"977-1-4275240, 977-1-6922351",,,"Kalimati,         ",Kathmandu,Bagmati,"Kalimati, Kathmandu  Kathmandu   Bagmati","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/gms-multiple-campus,Public,,,,,
Modern Indian School,CBSE,"977-1-4330163, 4330088",mischl@wlink.com.np,http://www.misktm.edu.np/,"Chobhar,         ",Kathmandu,Bagmati,"Chobhar, Kathmandu  Kathmandu   Bagmati","XI Arts,XI Commerce,XI Science",http://edusanjal.com/college/modern-indian-school,Public,,,,,
