OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,HighSchoolCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Saraswoti Higher Secondary School Thecho Lalitpur,HSEB,5570486,,,"Thecho,         ",Lalitpur,Bagmati,"Thecho, Lalitpur  Lalitpur   Bagmati",Ten Plus Two Management,http://edusanjal.com/college/saraswoti-higher-secondary-school-thecho-lalitpur,Public,,,,,
Sagarmatha Awasiya Higher Secondary School,HSEB,01-5526415,,,"Jawalakhel,         ",Lalitpur,Bagmati,"Jawalakhel, Lalitpur  Lalitpur   Bagmati",Ten Plus Two Management,http://edusanjal.com/college/sagarmatha-awasiya-higher-secondary-school,Public,,,,,
Patan Higher Secondary School,HSEB,5521708,,,"Patandhoka,         ",Lalitpur,Bagmati,"Patandhoka, Lalitpur  Lalitpur   Bagmati","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/patan-higher-secondary-school,Public,,,,,
Pawan Prakriti English Higher Secondary School,HSEB,5200636,,,"Imadol,         ",Lalitpur,Bagmati,"Imadol, Lalitpur  Lalitpur   Bagmati","Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/pawan-prakriti-english-higher-secondary-school,Public,,,,,
Nava Prabhat Higher Secondary School,HSEB,,,,"Pulchowk,         ",Lalitpur,Bagmati,"Pulchowk, Lalitpur  Lalitpur   Bagmati","Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/nava-prabhat-higher-secondary-school,Public,,,,,
Shree Shanti Vidhyashram Higher Secondary School,HSEB,526461,,,"Lolha,         ",Lalitpur,Bagmati,"Lolha, Lalitpur  Lalitpur   Bagmati","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/shree-shanti-vidhyashram-higher-secondary-school,Public,,,,,
National Institute of Science Higher Secondary School,HSEB,532854-528697,,,"Patan,         ",Lalitpur,Bagmati,"Patan, Lalitpur  Lalitpur   Bagmati","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/national-institute-science-higher-secondary-school,Public,,,,,
Shramik Shanti Higher Secondary School,HSEB,526456,,,"Chyasal,         ",Lalitpur,Bagmati,"Chyasal, Lalitpur  Lalitpur   Bagmati","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/shramik-shanti-higher-secondary-school,Public,,,,,
Shree Higher Secondary School Dandagaun Dang,HSEB,,,,"Laxmipur-8 Dandagaun, Dang       ",Dang-Deukhuri,Rapti,"Laxmipur-8 Dandagaun, Dang  Dang-Deukhuri   Rapti","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/shree-higher-secondary-school-dandagaun-dang,Public,,,,,
Shree Higher Secondary School Hapur Dang,HSEB,,,,"Hapur Bijauri, Dang       ",Dang-Deukhuri,Rapti,"Hapur Bijauri, Dang  Dang-Deukhuri   Rapti","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/shree-higher-secondary-school-hapur-dang,Public,,,,,
Shree Higher Secondary School Rajhena Dang,HSEB,,,,Rajhena Dang       ,Dang-Deukhuri,Rapti,Rajhena Dang  Dang-Deukhuri   Rapti,"Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/shree-higher-secondary-school-rajhena-dang,Public,,,,,
Shree Higher Secondary School Ashwara Dang,HSEB,,,,"Ashwara, Dang       ",Dang-Deukhuri,Rapti,"Ashwara, Dang  Dang-Deukhuri   Rapti","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/shree-higher-secondary-school-ashwara-dang,Public,,,,,
Janata Higher Secondary School Gadhwaha Dang,HSEB,,,,"Gadhwaha, Dang       ",Dang-Deukhuri,Rapti,"Gadhwaha, Dang  Dang-Deukhuri   Rapti","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/janata-higher-secondary-school-gadhwaha-dang,Public,,,,,
Baleshwori Higher Secondary School,HSEB,,,,"Bhardeu,         ",Lalitpur,Bagmati,"Bhardeu, Lalitpur  Lalitpur   Bagmati",Ten Plus Two Management,http://edusanjal.com/college/baleshwori-higher-secondary-school,Public,,,,,
Sisneri Higher Secondary School,HSEB,5580187,,,"Sisneri,         ",Lalitpur,Bagmati,"Sisneri, Lalitpur  Lalitpur   Bagmati",Ten Plus Two Management,http://edusanjal.com/college/sisneri-higher-secondary-school,Public,,,,,
St. Xaviers Higher Secondary School Lalitpur,HSEB,521050-521150,,,Jawalakhel         ,Lalitpur,Bagmati,Jawalakhel Lalitpur  Lalitpur   Bagmati,"Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/st-xaviers-higher-secondary-school-lalitpur,Public,,,,,
Tika Bidyashram Higher Secondary School,HSEB,5522630,,,"Sanepa,         ",Lalitpur,Bagmati,"Sanepa, Lalitpur  Lalitpur   Bagmati",Ten Plus Two Management,http://edusanjal.com/college/tika-bidyashram-higher-secondary-school,Public,,,,,
Saraswati Higher Secondary School Charakmatiya Dang,HSEB,,,,"Charakmatiya, Dang       ",Dang-Deukhuri,Rapti,"Charakmatiya, Dang  Dang-Deukhuri   Rapti","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/saraswati-higher-secondary-school-charakmatiya-dang,Public,,,,,
Janakalyan Higher Secondary School Baghmare Dang,HSEB,,,,"Baghmare, Dang       ",Dang-Deukhuri,Rapti,"Baghmare, Dang  Dang-Deukhuri   Rapti","Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/janakalyan-higher-secondary-school-baghmare-dang,Public,,,,,
Birendra Higher Secondary School Sonpur Dang,HSEB,,,,"Sonpur, Dang       ",Dang-Deukhuri,Rapti,"Sonpur, Dang  Dang-Deukhuri   Rapti","Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/birendra-higher-secondary-school-sonpur-dang,Public,,,,,
Adarsha Higher Secondary School Lalmatiya Dang,HSEB,,,,"Lalmatiya, Dang       ",Dang-Deukhuri,Rapti,"Lalmatiya, Dang  Dang-Deukhuri   Rapti","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/adarsha-higher-secondary-school-lalmatiya-dang,Public,,,,,
Shree Higher Secondary School Kalakhola Dang,HSEB,,,,"Kalakhola, Dang       ",Dang-Deukhuri,Rapti,"Kalakhola, Dang  Dang-Deukhuri   Rapti","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/shree-higher-secondary-school-kalakhola-dang,Public,,,,,
Birendra Higher Secondary School Hekuli Dang,HSEB,,,,Hekuli Dang       ,Dang-Deukhuri,Rapti,Hekuli Dang  Dang-Deukhuri   Rapti,"Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/birendra-higher-secondary-school-hekuli-dang,Public,,,,,
Janakalyan Higher Secondary School Dudhras Dang,HSEB,,,,"Dudhras, Dang       ",Dang-Deukhuri,Rapti,"Dudhras, Dang  Dang-Deukhuri   Rapti","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/janakalyan-higher-secondary-school-dudhras-dang,Public,,,,,
Janata Higher Secondary School Hansapur Dang,HSEB,,,,"Hansapur, Dang       ",Dang-Deukhuri,Rapti,"Hansapur, Dang  Dang-Deukhuri   Rapti",Ten Plus Two Education,http://edusanjal.com/college/janata-higher-secondary-school-hansapur-dang,Public,,,,,
Janata Higher Secondary School Kalakate Dang,HSEB,,,,"Kalakate, Dang       ",Dang-Deukhuri,Rapti,"Kalakate, Dang  Dang-Deukhuri   Rapti","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/janata-higher-secondary-school-kalakate-dang,Public,,,,,
Shree Higher Secondary School Maurighat Dang,HSEB,,,,"Maurighat, Dang       ",Dang-Deukhuri,Rapti,"Maurighat, Dang  Dang-Deukhuri   Rapti","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/shree-higher-secondary-school-maurighat-dang,Public,,,,,
Tribhuwan Janata Higher Secondary School Khalanga Salyan,HSEB,,,,"Khalanga,         ",Salyan,Rapti,"Khalanga, Salyan  Salyan   Rapti","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/tribhuwan-janata-higher-secondary-school-khalanga-salyan,Public,,,,,
Saraswati Higher Secondary School Gobardiya Dang,HSEB,,,,"Gobardiya, Dang       ",Dang-Deukhuri,Rapti,"Gobardiya, Dang  Dang-Deukhuri   Rapti","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/saraswati-higher-secondary-school-gobardiya-dang,Public,,,,,
Adarsha Higher Secondary School Lamahi Dang,HSEB,,,,"Lamahi, Dang       ",Dang-Deukhuri,Rapti,"Lamahi, Dang  Dang-Deukhuri   Rapti","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/adarsha-higher-secondary-school-lamahi-dang,Public,,,,,
Nepal Rastriya Higher Secondary School Kimuchaur Salyan,HSEB,,,,"Kimuchaur,         ",Salyan,Rapti,"Kimuchaur, Salyan  Salyan   Rapti","Ten Plus Two Education,Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/nepal-rastriya-higher-secondary-school-kimuchaur-salyan,Public,,,,,
Maiwa khola Higher Secondary School Taplejung,HSEB,024-69004,,,"Dungesanghu,         ",Taplejung,Mechi,"Dungesanghu, Taplejung  Taplejung   Mechi",Ten Plus Two Education,http://edusanjal.com/college/maiwa-khola-higher-secondary-school-taplejung,Public,,,,,
Siddhartha Valley Higher Secondary School,HSEB,"977-1-5522677, 5520509",info@siddharthavalley.edu.np,http://siddharthavalley.edu.np/,Kumaripati       ,Lalitpur,Bagmati,Kumaripati  Lalitpur   Bagmati,"Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/siddhartha-valley-higher-secondary-school,Public,,,,,
Nepalaya Higher Secondary School,HSEB,"4273159, 4275203",,,"Kalanki,         ",Kathmandu,Bagmati,"Kalanki, Kathmandu  Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Science",http://edusanjal.com/college/nepalaya-higher-secondary-school,Public,,,,,
Prithivi Higher Secondary School Taplejung,HSEB,024-68061,,,"Khamlung,         ",Taplejung,Mechi,"Khamlung, Taplejung  Taplejung   Mechi","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/prithivi-higher-secondary-school-taplejung,Public,,,,,
Nilgiri Higher Secondary School Taplejung,HSEB,024-680145,,,"Mehel-7, Chihandadha,         ",Taplejung,Mechi,"Mehel-7, Chihandadha, Taplejung  Taplejung   Mechi","Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/nilgiri-higher-secondary-school-taplejung,Public,,,,,
Shankarnagar Multiple Campus,HSEB,,,,Shankarnagar       ,Rupandehi,Lumbini,Shankarnagar  Rupandehi   Lumbini,"Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/shankarnagar-multiple-campus,Public,,,,,
Saraswati Boarding Higher Secondary School Chhetrapati,HSEB,info@saraswatibhss.edu.np,info@saraswatibhss.edu.np,http://saraswatibhss.edu.np/,Chetrapati       ,Kathmandu,Bagmati,Chetrapati  Kathmandu   Bagmati,"Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Humanities",http://edusanjal.com/college/saraswati-boarding-higher-secondary-school-chhetrapati,Public,,,,,
Dhanusha Science Campus,HSEB,041-523767,,http://www.dsc.edu.np/,"Bidya Nagar,         ",Dhanusa,Janakpur,"Bidya Nagar, Janakpur  Dhanusa   Janakpur",Ten Plus Two Science,http://edusanjal.com/college/dhanusha-science-campus,Public,,,,,
Chanakya Higher Secondary School,HSEB,"977-16632927, 6632668, 6631798",info@chanakya.edu.np,http://www.chanakya.edu.np/,"Madhyapur, Thimi       ",Bhaktapur,Bagmati,"Madhyapur, Thimi  Bhaktapur   Bagmati",Ten Plus Two Management,http://edusanjal.com/college/chanakya-higher-secondary-school,Public,,,,,
"Prativa Higher Secondary School, Pokhara",HSEB,977-061-521546,info@prativahss.com.np,http://www.prativahss.edu.np/,"GyanMarga, Nadipur, Pokhara       ",Kaski,Gandaki,"GyanMarga, Nadipur, Pokhara  Kaski   Gandaki","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/prativa-higher-secondary-school,Public,,,,,
Kutumba College,HSEB,"977-1-491752, 4917301",kutumba@mos.com.np,,Jorpati       ,Kathmandu,Bagmati,Jorpati  Kathmandu   Bagmati,"Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/kutumba-college,Public,,,,,
Deep Boarding Higher Secondary School,HSEB,977-71-541354,info@deepboarding.edu.np,http://www.deepboarding.edu.np/,"Sukhanagar,Butwal-10       ",Rupandehi,Lumbini,"Sukhanagar,Butwal-10  Rupandehi   Lumbini","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/deep-boarding-higher-secondary-school,Public,,,,,
"Mahendra Jyoti Higher Secondary School, Gorkha",HSEB,064-420130,laxmanbabuacharya@gmail.com,," -1, Durbar Marg       ",Gorkha,Gandaki,"Gorkha-1, Durbar Marg  Gorkha   Gandaki","Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/mahendra-jyoti-higher-secondary-school-gorkha,Public,,,,,
Irkhu Higher Secondary School,HSEB,011-691074,irkhuhseb_12@yahoo.com,,"Irkhu-1, Irkhu       ",Sindhupalchok,Bagmati,"Irkhu-1, Irkhu  Sindhupalchok   Bagmati","Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/irkhu-higher-secondary-school,Public,,,,,
"Janajagriti Higher Secondary School, Dhading",HSEB,010-415027,janajariti1@gmail.com,,Thakre-3       ,Dhading,Bagmati,Thakre-3  Dhading   Bagmati,Ten Plus Two Management,http://edusanjal.com/college/janajagriti-higher-secondary-school-dhading,Public,,,,,
Dhunibeshi English Boarding Higher Secondary School,HSEB,"010-401035, 401041",dhunibesischool@gmail.com,,"Naubise-2, Khanikhola       ",Dhading,Bagmati,"Naubise-2, Khanikhola  Dhading   Bagmati",Ten Plus Two Management,http://edusanjal.com/college/dhunibeshi-english-boarding-higher-secondary-school,Public,,,,,
Spiral Galaxy Higher Secondary School,HSEB,061-528624,info@spiralgalaxy.edu.np,http://www.spiralgalaxy.edu.np/,"Simpani, Pokhara-1       ",Kaski,Gandaki,"Simpani, Pokhara-1  Kaski   Gandaki","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/spiral-galaxy-higher-secondary-school,Public,,,,,
"Tara Higher Secondary School, Gorkha",HSEB,064-690685,,," -9, Chhebetar       ",Gorkha,Gandaki,"Gorkha-9, Chhebetar  Gorkha   Gandaki",Ten Plus Two Management,http://edusanjal.com/college/tara-higher-secondary-school-gorkha,Public,,,,,
Little Buddha Academy,HSEB,977-99-522594,lbaeduction@gmail.com,,"Bhimdattnagar-3, Mahendranagar       ",Kanchanpur,Mahakali,"Bhimdattnagar-3, Mahendranagar  Kanchanpur   Mahakali","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/little-buddha-academy,Public,,,,,
Gurukul Higher Secondary School,HSEB,"056-520053, 523147, 525824, 527872",siactw@gmail.com,http://gurukulchitwan.com/,"Bharatpur-9,   (Near Bus Park)       ",Chitwan,Narayani,"Bharatpur-9, Chitwan (Near Bus Park)  Chitwan   Narayani","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/gurukul-higher-secondary-school,Public,,,,,
Janata Higher Secondary School Palpa,HSEB,"015-520107, 522121",,,Tansen       ,Palpa,Lumbini,Tansen  Palpa   Lumbini,"Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/janata-higher-secondary-school-palpa,Public,,,,,
HIMSE Academy,HSEB,049-421607,adhikari_pp@yahoo.com,,"Bhimeshwor Municipality-10, Himse Chowk Charikot       ",Dolakha,Janakpur,"Bhimeshwor Municipality-10, Himse Chowk Charikot  Dolakha   Janakpur",Ten Plus Two Management,http://edusanjal.com/college/himse-academy,Public,,,,,
